Reference Code,Title (Eng),Title (TC),Business Needs / Challenges (Eng),Business Needs / Challenges (TC),Expected Outcomes (Eng),Expected Outcomes (TC),Application Areas,Technologies to be Used,Model Input
N-0038,Approved Signboards Identification System - ASIS,批准招牌識別系統 - ASIS,"We are seeking solutions to identify and record approved signboards from more than 2,000,000 approved building plans, to extract essential information of the approved signboards from the approved building plan images, and to establish a system which systematically stores the information of approved signboards, with the application of Optical Character Recognition (OCR) and artificial intelligence (AI) technologies.","我們正在尋求可以通過光學字元辨識(OCR)和人工智能(AI)技術，從超過2,000,000張批准圖則中識別和記錄招牌, 抽取有關招牌的主要資訊並系統性地儲存這些資訊的解決方案。",The ASIS will enable both internal and public users to conveniently check up the relevant information of the approved signboards of a particular location.,批准招牌識別系統將可以讓部門和公衆方便查閲特定處所批准招牌的相關資訊。,"City Management
Commerce and Industry
Development
Building Information Management
","Artificial Intelligence (AI)
Machine Learning
Optical Character Recognition
","Approved Signboards Identification System - ASIS. We are seeking solutions to identify and record approved signboards from more than 2,000,000 approved building plans, to extract essential information of the approved signboards from the approved building plan images, and to establish a system which systematically stores the information of approved signboards, with the application of Optical Character Recognition (OCR) and artificial intelligence (AI) technologies.. The ASIS will enable both internal and public users to conveniently check up the relevant information of the approved signboards of a particular location."
N-0039,Defective Signboards Diagnostic System (DSDS),破損招牌診斷系統,"Currently all inspection of signboards are undertaken by departmental officers manually. There have been initiatives to develop a system, which is able to perform unmanned on-site survey and automatically detect any defective signboards with the application of artificial intelligence (AI) technology. The system shall include a database to record and store the findings in the street surveys. The system shall be interconnected with other internal systems of the department, in order to enhance the workflow of processing defective signboards.",當前所有針對招牌的視察均由部門人員親自執行。部門一直希望建立一個可以運用人工智能技術進行全自動街道巡查，並能夠偵測任何破損招牌的系統。該系統包含一個記錄和儲存所有破損招牌資訊的資料庫，並銜接部門内其它系統，從而改善部門針對破損招牌的處理流程。,"Through AI and machine learning, the system is able to identify defective signboard in street survey.",透過人工智能和機器學習，該系統能夠在街道巡查中識別破損招牌。,"City Management
Commerce and Industry
Development
Environment
Law and Security
","Artificial Intelligence (AI)
Data Analytics
Machine Learning
Mobile Technologies
Video Analytics
","Defective Signboards Diagnostic System (DSDS). Currently all inspection of signboards are undertaken by departmental officers manually. There have been initiatives to develop a system, which is able to perform unmanned on-site survey and automatically detect any defective signboards with the application of artificial intelligence (AI) technology. The system shall include a database to record and store the findings in the street surveys. The system shall be interconnected with other internal systems of the department, in order to enhance the workflow of processing defective signboards.. Through AI and machine learning, the system is able to identify defective signboard in street survey."
N-0040,Signboard Inspection and Database Operation Hub (SIDOH),招牌綜合數據樞紐,"There exist hundreds of thousands of signboard structures in Hong Kong. Numerous signboard erection, alteration and removal works take place every day as business activities prospers. In this connection, we intend to set up a comprehensive electronic data hub for the signboards and signboard activities. The electronic data hub shall be supported by geographic information system (GIS) to operate through 3-dimensional (3D) images. It is also expected to predict potential signboard activities by analysis and sorting of data from internet or other governmental departments, and assist in issuance of statutory and administrative documents.",香港有數以十萬計的招牌構築物。繁榮的商業活動帶來每日大量招牌的竪設、更換與拆除工程。我們計劃建立一個有關招牌及招牌活動的綜合數據樞紐，能夠利用地理資訊系統技術於模擬三維映像進行日常運作，並可以透過連接互聯網或銜接其它部門的系統，進行資料分類及分析從而辨識潛在竪設新招牌的活動，並協助發出法定及行政文件。,"Users can carry out navigation in the simulated 3D environment as if they are performing street petrol, conveniently read information of signboards as well as relevant information from other departments, and operation administrative duties.",用戶可以在模擬三維映像中進行瀏覽，猶如正在進行街道巡查，亦可以便捷地瀏覽系統内有關招牌的資訊及整理其他系統包含的有關資料，同時進行行政工作。,"City Management
Commerce and Industry
Development
Environment
Building Information Management
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Predictive Analytics
Building Information Modelling
","Signboard Inspection and Database Operation Hub (SIDOH). There exist hundreds of thousands of signboard structures in Hong Kong. Numerous signboard erection, alteration and removal works take place every day as business activities prospers. In this connection, we intend to set up a comprehensive electronic data hub for the signboards and signboard activities. The electronic data hub shall be supported by geographic information system (GIS) to operate through 3-dimensional (3D) images. It is also expected to predict potential signboard activities by analysis and sorting of data from internet or other governmental departments, and assist in issuance of statutory and administrative documents.. Users can carry out navigation in the simulated 3D environment as if they are performing street petrol, conveniently read information of signboards as well as relevant information from other departments, and operation administrative duties."
N-0042,Implementation of Intelligent Analytical Solution of Passenger Flow,推行旅客流量智能分析方案,"Automate the counting of incoming passengers in public waiting areas and estimation of queueing time for services, using technologies, such as video analytics, artificial intelligence, in order to timely alert the service provider with suggestion on optimised manpower deployment.

Currently, this process is highly reliant on manual efforts which is time and manual resource consuming and may introduce human errors.
","使用視頻分析及人工智能等技術，自動估算進入公眾等侯區中的旅客數量及其排隊等候服務所需的時間，以便適時向服務提供者作出調整人力資源的建議。
目前，該過程主要依賴人手操作，容易出錯和消耗人力和時間資源。","The system implemented will comprise of supporting hardware, software and implementation services for formulating the solution according to business need described above.",相關系統需根據上述業務需求制定解決方案，並包括所需硬件、軟件和服務。,"Law and Security
","Artificial Intelligence (AI)
Deep Learning
Video Analytics
","Implementation of Intelligent Analytical Solution of Passenger Flow. Automate the counting of incoming passengers in public waiting areas and estimation of queueing time for services, using technologies, such as video analytics, artificial intelligence, in order to timely alert the service provider with suggestion on optimised manpower deployment.

Currently, this process is highly reliant on manual efforts which is time and manual resource consuming and may introduce human errors.
. The system implemented will comprise of supporting hardware, software and implementation services for formulating the solution according to business need described above."
N-0043,Automate the verification of electronic documents,自動化核對電子文件,"Around 70,000 to 80,000 electronic documents were received through the system every day and about 2,000-3,000 of them were suspected to have inaccurate information included or selected for manual check.  For those suspected with inaccurate information document, officers concerned need to follow up by contacting the submitter through telephone or query through the system for clarification and correction.  For those documents suspected to involve deceptive information, the case would be referred to law enforcement agencies for investigation.  The project aims to enhance the existing system using artificial intelligence, machine learning and other technologies to identify and process the incoming electronic documents with suspected inaccurate information.",現有的電腦系統每日處理大概七萬至八萬份電子文件，當中約有二千至三千份文件懷疑涉及不正確資料，因此需要進行人手核對。若懷疑電子文件內有不正確資料，有關人員便須致電或發出電子查詢予電子文件提交者，以作出澄清及更正。若電子文件上懷疑涉及虛假資料，該個案會轉介至執法機關進行調查。此項目是希望優化現有的電腦系統，利用人工智能，機器學習和其他技術，找出及處理懷疑有不正確資料的電子文件。,"With the application of artificial intelligence, machine learning, robotic process automation and other technologies, the enhanced system should be able to minimise human effort for manual checking by improving the accuracy of the received documents (such as through automatic confirmation and clarification of dubious information with the submitters during submission), identifying documents with suspected inaccurate information in a more targeted and precise manner, and improving the efficiency in the manual checking process (such as through use of automatic or machine-assisted checking and correction).",經人工智能、機器學習、機械人流程自動化和其他技術優化的電腦系統應能提高所收到電子文件的準確性（如在提交時自動要求提交者確認和澄清可疑的資料）、更精確地找出懷疑有不正確資料的文件、以及改善人手核對工作的效率（如使用自動或機器輔助的檢查和更正），從而減省人手核對的工作量。,"Commerce and Industry
","Artificial Intelligence (AI)
Robotic Process Automation
","Automate the verification of electronic documents. Around 70,000 to 80,000 electronic documents were received through the system every day and about 2,000-3,000 of them were suspected to have inaccurate information included or selected for manual check.  For those suspected with inaccurate information document, officers concerned need to follow up by contacting the submitter through telephone or query through the system for clarification and correction.  For those documents suspected to involve deceptive information, the case would be referred to law enforcement agencies for investigation.  The project aims to enhance the existing system using artificial intelligence, machine learning and other technologies to identify and process the incoming electronic documents with suspected inaccurate information.. With the application of artificial intelligence, machine learning, robotic process automation and other technologies, the enhanced system should be able to minimise human effort for manual checking by improving the accuracy of the received documents (such as through automatic confirmation and clarification of dubious information with the submitters during submission), identifying documents with suspected inaccurate information in a more targeted and precise manner, and improving the efficiency in the manual checking process (such as through use of automatic or machine-assisted checking and correction)."
N-0045,Virtual Reality Tools for Environmental Incident / Operation Support and Training ,環境事件的VR訓練系統,To enhance training efficiency for frontline colleagues by visualizing the work procedures and practice using VR system. Enforcement team in the department could also use VR training system for drill and practice of large-scale incidents.,希望通過使用VR系統把工作流程影像化，令同事可於遊戲中實踐，從而提高同事的培訓效率。部門的執法團隊還可以使用VR培訓系統進行緊急情況的演練。,The computerized training module would simulate different incident scenarios with flexibility on configuration by user. Dashboard is also expected which could facilitate in monitoring and evaluation of the effectiveness of the training.,,"Environment
Law and Security
","Data Analytics
Mixed Reality
Virtual Reality
",Virtual Reality Tools for Environmental Incident / Operation Support and Training . To enhance training efficiency for frontline colleagues by visualizing the work procedures and practice using VR system. Enforcement team in the department could also use VR training system for drill and practice of large-scale incidents.. The computerized training module would simulate different incident scenarios with flexibility on configuration by user. Dashboard is also expected which could facilitate in monitoring and evaluation of the effectiveness of the training.
N-0046,4D Visualisation of Spatial Data,集成並以四維形式顯示空間數據,"Various spatial data from different sources are gathered in different format, some of them has been digitalised while others are in paper format. It is difficult for department to analyse and provide preliminary assessment results quickly. The department is seeking professional services to install a new system which could integrate various spatial data sets and display in virtual reality and 4-dimension form. ",收集來自不同來源、不同格式的空間數據，包括一些已數字化或紙質格式的數據。由於部門很難快速分析並提供初步評估結果，現正尋求專業服務開發新系統，該系統可以集成各種空間數據集並以虛擬實境及四維形式顯示。 ,The department is exploring a new system which could present various spatial data sets from different sources. The collected data sets shall be converted into a format applicable to the new system to facilitate the work of assessment and city planning. The system can also demonstrate the existing site condition in 4-dimension to various stakeholders including the public so as to facilitate better understanding of the environment. ,該部門正在探索一種新系統，該系統可以顯示來自不同來源的各種空間數據集。所收集的數據集將被轉換成適用於新系統的格式，以方便評估和城市規劃的工作。該系統還可以向包括公眾在內的各持份者以四維方式展示現有的場地狀況，有助更好地了解相關環境。 ,"Environment
","Augmented Reality
Internet of Things (IoT)
Mixed Reality
Robotic Process Automation
Virtual Reality
","4D Visualisation of Spatial Data. Various spatial data from different sources are gathered in different format, some of them has been digitalised while others are in paper format. It is difficult for department to analyse and provide preliminary assessment results quickly. The department is seeking professional services to install a new system which could integrate various spatial data sets and display in virtual reality and 4-dimension form. . The department is exploring a new system which could present various spatial data sets from different sources. The collected data sets shall be converted into a format applicable to the new system to facilitate the work of assessment and city planning. The system can also demonstrate the existing site condition in 4-dimension to various stakeholders including the public so as to facilitate better understanding of the environment. "
N-0047,Smart Digital Film,智慧電膜,"Traditional window curtains are used to enhance privacy for meeting areas while maintaining the visibility and lighting when no meeting is going on.  However, traditional window curtains lack of the ability of adjusting the visibility degree, require manual control and additional installation space.",傳統的窗簾用於增強會議區域的私密性，同時在沒有會議進行時保持可見性和照明。然而，傳統的窗簾缺乏調節可見度的能力，需要手動控制和額外的安裝空間。,"With the application of ""Smart Film"" technology, to enhance the opacity control of meeting areas and reduce the need of much manual adjustment.",使用“智慧電膜”技術，以改善會議區域玻璃的透光度控制，減省人手調節的需要。,"Commerce and Industry
Law and Security
","Internet of Things (IoT)
Smart Film
","Smart Digital Film. Traditional window curtains are used to enhance privacy for meeting areas while maintaining the visibility and lighting when no meeting is going on.  However, traditional window curtains lack of the ability of adjusting the visibility degree, require manual control and additional installation space.. With the application of ""Smart Film"" technology, to enhance the opacity control of meeting areas and reduce the need of much manual adjustment."
N-0048,Smart Film to Display Real-time Data,智慧電膜以顯示實時數據,"Traditional gadgets for displaying real-time data, e.g. date, time and weather information need compatible with the interior design to locate and acquired the space of a room.",用作顯示資訊的傳統小工具，如日期、時間和天氣資料，需要配合室內設計擺放和佔據室內空間。,"To better utilize the space of the glass and enhancing privacy of meeting room, the smart film can apply to the glass enclosure.  With different applications, the smart film can enhance the privacy of a meeting room as well as enhance users’ experience with switching transparency level of glass and displaying date, time and weather information.",善用玻璃的空間和加強會議室的私隱度，智慧電膜可以應用於玻璃牆上。智慧電膜可以切換透明度及顯示日期、時間和天氣資料，利用不同的應用程式，不但可增加私隱度亦可令用家有更好的體驗。,"Environment
Recreation and Culture
","Internet of Things (IoT)
","Smart Film to Display Real-time Data. Traditional gadgets for displaying real-time data, e.g. date, time and weather information need compatible with the interior design to locate and acquired the space of a room.. To better utilize the space of the glass and enhancing privacy of meeting room, the smart film can apply to the glass enclosure.  With different applications, the smart film can enhance the privacy of a meeting room as well as enhance users’ experience with switching transparency level of glass and displaying date, time and weather information."
N-0049,Improve the auto-matching of two types of electronic documents originated from independent information source,優化兩類不同來源的電子文件的自動配對工作,"Two different types of electronic documents will undergo a matching process by a computer program to identify outstanding submission every day.  Contents of the common input fields in these two document types will be compared character by character for matching.  For those unmatched document records, officers have to refine the matching criteria, sometimes based on typo correction, to perform manual on-line matching again.  For records remained outstanding after going through the auto- and manual matching, officers will issue notice, either electronically or in paper format, to the party concerned for follow-up.  The project aims to enhance the existing system by using artificial intelligence, machine learning or other technology to identify the outstanding submission.",現時兩類電子文件每日會利用電腦程式進行配對，藉以找出漏報的文件。配對方式是將兩類文件內相同資料項目的內容作逐字比對。未能成功配對的文件，有關人員會修訂配對的準則，例如改正錯字，再以手動形式透過電腦進行配對。經自動及手動形式仍未能成功配對的文件，有關人員會向相關人士發出電子或紙本通知書以作出跟進。此項目是希望優化現有的電腦系統，利用人工智能、機器學習或其他技術找出漏報的文件。,"The enhancement should be able to minimize the human effort in the manual matching process.  With the enhanced system, the whole process can be shortened to boost efficiency and increase the matching rate.",經優化的電腦系統應能減省以人手進行文件配對的工作程序，並能加快配對流程，從而提升效率及提高配對成功率。,"Commerce and Industry
","Artificial Intelligence (AI)
Deep Learning
Machine Learning
Natural Language Processing
","Improve the auto-matching of two types of electronic documents originated from independent information source. Two different types of electronic documents will undergo a matching process by a computer program to identify outstanding submission every day.  Contents of the common input fields in these two document types will be compared character by character for matching.  For those unmatched document records, officers have to refine the matching criteria, sometimes based on typo correction, to perform manual on-line matching again.  For records remained outstanding after going through the auto- and manual matching, officers will issue notice, either electronically or in paper format, to the party concerned for follow-up.  The project aims to enhance the existing system by using artificial intelligence, machine learning or other technology to identify the outstanding submission.. The enhancement should be able to minimize the human effort in the manual matching process.  With the enhanced system, the whole process can be shortened to boost efficiency and increase the matching rate."
N-0050,Virtual environment without headmount wearable device to visualise 3D models,免穿戴的虛擬實境裝置以顯示3D模型,"Virtual Reality (VR) is a popular technology to interpret spatial data and to visualize 3D models for better analysis. However, head mounted displays are adopted in many VR products, which bring up an issue of discomfort and disorientation of wearing a headset.",現在非常流行用虛擬現實（VR）技術來解釋空間數據以及可視化3D模型以進行更好的分析。但是，很多VR產品使用的頭戴式顯示設備，會帶來佩戴頭戴式的不適感和迷失方向感等問題。,"The Cave Automatic Virtual Environment (CAVE) provides a room-sized immersive 3D virtual reality environment for processing and presenting of building information modelling technology and 3D models. Besides, the CAVE allows multiple people to collaborate and experience simultaneously from the first person perspective, and people will not be isolated from the real-world surroundings.",洞穴式自動虛擬環境提供一個房間大小的沉浸式三維虛擬現實環境，用於處理和呈現建築信息模擬技術和三維模型。此外，洞穴式自動虛擬環境能可同時容納多人在有第一身視覺體驗的環境下進行討論，不會將人與現實世界隔離開來。,"City Management
Commerce and Industry
Development
Education
Environment
","Internet of Things (IoT)
Virtual Reality
","Virtual environment without headmount wearable device to visualise 3D models. Virtual Reality (VR) is a popular technology to interpret spatial data and to visualize 3D models for better analysis. However, head mounted displays are adopted in many VR products, which bring up an issue of discomfort and disorientation of wearing a headset.. The Cave Automatic Virtual Environment (CAVE) provides a room-sized immersive 3D virtual reality environment for processing and presenting of building information modelling technology and 3D models. Besides, the CAVE allows multiple people to collaborate and experience simultaneously from the first person perspective, and people will not be isolated from the real-world surroundings."
N-0052,Guiding Robot for a Showroom,展示廳導賞機器人,"Human resources are always needed for the guiding service at some public museums and service centres of government departments. A guiding robot can provide pleasant reception and touring services to visitors with less manpower overheads, and also provide visitors with a new and innovative experience.",一些公共博物館和服務中心始終需要人力資源來提供導賞服務。導賞機器人可以以更少的人力為訪客提供愉悅的接待和導賞服務，還可以為訪客帶來創新的體驗。,"A guiding robot will serve as a smart receptionist to greet visitors on entry, guide visitors to access and tour around showcases and act like a real customer service agent to serve visitors. The guiding robot can chat with the visitors and respond to questions from visitors. With the integration of machine learning technology, it will also be able to continuously improve its chatting and responding skills and give more close-fitting replies to visitors’ queries. It is expected that the guiding robot will bring the visitors a pleasant, contemporary and innovative visiting experience. ",導賞機器人將充當智能接待員，在接待處問候訪客，引導訪客進入和遊覽展品，像真正的客戶服務工作者一樣為訪客提供服務。導賞機器人能與訪客聊天並回答訪客的問題。在與機器學習技術整合之後，它還能夠不斷提高聊天和回應的能力，對訪問者的查詢做出更貼切的答覆。希望導賞機器人可以為參觀者帶來愉悅，現代和新穎的參觀體驗。,"Education
Recreation and Culture
","Artificial Intelligence (AI)
Internet of Things (IoT)
Machine Learning
Robotic Process Automation
","Guiding Robot for a Showroom. Human resources are always needed for the guiding service at some public museums and service centres of government departments. A guiding robot can provide pleasant reception and touring services to visitors with less manpower overheads, and also provide visitors with a new and innovative experience.. A guiding robot will serve as a smart receptionist to greet visitors on entry, guide visitors to access and tour around showcases and act like a real customer service agent to serve visitors. The guiding robot can chat with the visitors and respond to questions from visitors. With the integration of machine learning technology, it will also be able to continuously improve its chatting and responding skills and give more close-fitting replies to visitors’ queries. It is expected that the guiding robot will bring the visitors a pleasant, contemporary and innovative visiting experience. "
N-0053,Flow Management System,人流管理系統,Traditional surveillance cameras for people counting may lead to privacy concerns and may be affected by sight blocking and lighting condition. The department is exploring alternative technologies with artificial intelligence and data analytics to serve the operational needs and enhance public services.,傳統監察攝影機進行人數點算時可能會產生私隱問題，效果也可能會被視線受阻和光線所影響。部門正在探索使用替代技術加以人工智能及數據分析等技術，以滿足營運需求並提升公共服務。,"Alternative solution to replace traditional surveillance cameras in difference scenarios for people counting and behavior monitoring with privacy preserved. It includes counting the number and duration of people staying in a designated location such as toilet and store, and detect any abnormalities therein such as overcrowding and prolonged stay. The system will automatically alert staff if any of such abnormalities is detected, thereby enhancing the institutional security.",替代傳統監視攝影機的技術於保護個人私隱的不同場景下，可以進行人數點算和行為監察，包括統計在指定地點（如洗手間及儲物室）停留的人數和持續停留的時間，並藉此偵測指定地點內的異常情況，例如長時間逗留和擁擠的情況。如系統偵測到有關的異常情況便會隨即發出警報，讓人員即時跟進，從而提升有關設施的保安水平。,"City Management
Environment
Law and Security
Population
","Artificial Intelligence (AI)
Data Analytics
Machine Learning
Video Analytics
","Flow Management System. Traditional surveillance cameras for people counting may lead to privacy concerns and may be affected by sight blocking and lighting condition. The department is exploring alternative technologies with artificial intelligence and data analytics to serve the operational needs and enhance public services.. Alternative solution to replace traditional surveillance cameras in difference scenarios for people counting and behavior monitoring with privacy preserved. It includes counting the number and duration of people staying in a designated location such as toilet and store, and detect any abnormalities therein such as overcrowding and prolonged stay. The system will automatically alert staff if any of such abnormalities is detected, thereby enhancing the institutional security."
N-0055,Automation of the validation and assessment process of electronic applications,自動化電子服務申請的校對及評核流程,"The existing workflow of handling electronic applications of a public service involves a number of manual processes, such as validating the received data against specific sources of the Internet, searching for relevant market information from various websites to support application assessments, and inputting the collected information into the system in a pre-defined format.  Those manual processes are repetitive, time consuming and prone to error.  The department wants to make use of Information Technology to automate the manual processes for improvement of process accuracy and operational efficiency.",現時處理一項公共服務的電子申請的流程涉及多個人手工序，當中包括將收到的資料與網上特定的網頁校對、在不同網頁搜尋市場資訊以協助申請評核及將收集回來的網上資料以特定的格式輸入系統。該些人手工序重覆、費時及容易出錯。部門希望透過資訊科技，自動化相關的人手工序，以改善準確度及業務效率。,"With the application of artificial intelligence, machine learning, robotic process automation and other technologies, the IT solution should be able to automate the processes of validation and assessment of electronic applications accurately and efficiently and minimise the human effort required.",透過應用人工智能、機器學習、機械人流程自動化及其他技術，選用的創新及科技解決方案應能自動化電子服務申請的校對及評核流程，改善準確度及業務效率，並減省以人手。,"Commerce and Industry
Law and Security
","Artificial Intelligence (AI)
Machine Learning
Natural Language Processing
Robotic Process Automation
","Automation of the validation and assessment process of electronic applications. The existing workflow of handling electronic applications of a public service involves a number of manual processes, such as validating the received data against specific sources of the Internet, searching for relevant market information from various websites to support application assessments, and inputting the collected information into the system in a pre-defined format.  Those manual processes are repetitive, time consuming and prone to error.  The department wants to make use of Information Technology to automate the manual processes for improvement of process accuracy and operational efficiency.. With the application of artificial intelligence, machine learning, robotic process automation and other technologies, the IT solution should be able to automate the processes of validation and assessment of electronic applications accurately and efficiently and minimise the human effort required."
N-0057,Automatic Pedestrian Counting,自動行人點算技術,"Pedestrian planning requires detailed pedestrian flow data, with such data commonly obtained through manual survey methods. However, methods such as manual pedestrian counting can be expensive and provide only limited data, as it might not be possible to collect data over an extensive area and period. The department is exploring appropriate and reliable automatic pedestrian counting technologies suitable for surveying streets, especially with high pedestrian flow. The technology shall be free from privacy issues.",進行城市行人規劃需要詳細的行人流量數據通常是透過人力調查方法從而獲得。 但是人力調查方法如手動行人點算不但昂貴，而且不適合長時間和大範圍收集數據，以至只能收集有限的數據。部門正在探索使用適當且可靠的自動行人點算技術為高行人流量的街道進行人數點算。該技術並不可以產生私隱問題。,"An alternative solution to replace manual pedestrian counting under an outdoor environment, especially with high pedestrian flow density, without privacy issues. The solution shall be able to count the number of pedestrians passing by a certain location on a street with a high degree of accuracy and log the pedestrian flow data for analytical purpose. The hardware should be able to mount on existing lampposts, can be easily installed and weatherproof.",替代手動行人人數點算方法的自動行人點算技術應有能力在保護個人私隱的前題下，為高行人流量的戶外地點進行人數點算。該技術應能夠準確地點算經過街道上某位置的行人流量，並記錄有關數據以進行分析。而該技術的硬件應能夠安裝在現有的燈柱上，並且能夠抵擋風雨。,"Development
Infrastructure
Transport
","Artificial Intelligence (AI)
Data Analytics
","Automatic Pedestrian Counting. Pedestrian planning requires detailed pedestrian flow data, with such data commonly obtained through manual survey methods. However, methods such as manual pedestrian counting can be expensive and provide only limited data, as it might not be possible to collect data over an extensive area and period. The department is exploring appropriate and reliable automatic pedestrian counting technologies suitable for surveying streets, especially with high pedestrian flow. The technology shall be free from privacy issues.. An alternative solution to replace manual pedestrian counting under an outdoor environment, especially with high pedestrian flow density, without privacy issues. The solution shall be able to count the number of pedestrians passing by a certain location on a street with a high degree of accuracy and log the pedestrian flow data for analytical purpose. The hardware should be able to mount on existing lampposts, can be easily installed and weatherproof."
N-0059,Traffic Snapshot Images on Smart Lampposts,智慧燈柱上的交通情況快拍圖像,There are public concerns on using cameras as it may touch on personal privacy.  Therefore technologies alternative to cameras will be explored which are privacy-friendly to provide ‘Traffic Snapshot Images’.,公眾關注使用攝影機有可能引起個人私隱問題。因此，需要探索其他可替代攝影機而保障私隱的技術，以提供“交通情況快拍圖像”的功能。,"-	Provide real-time snapshot images of traffic on the road for the general public to visualize the latest traffic conditions at a specific road section regularly (e.g. every 2 minutes).
-	Explore alternative technologies other than cameras to capture low resolution images of 320 x 240 pixels with logo of TD, device ID, capture date, time and location.
-	Disseminate to the public every two minutes via open data portal and TD’s website / app.
-	Alternative technologies other than cameras which are privacy-friendly (i.e. no excessive data collection principle under the Personal Data (Privacy) Ordinance and the practice of collecting minimum information for the purpose of data collection) should be considered only.","-       為公眾提供即時的交通情況快拍圖像，以了解在特定路口的最新定時（例如每2分鐘）交通狀況。 
-       探索攝影機以外的其他技術，以拍攝低解像度圖像（320 x 240像素），同時要加入運輸處徽號，裝置編碼，拍攝日期，時間和地點。 
-       每兩分鐘通過政府開放數據入門網站和運輸處的網站/應用程式向公眾發放。 
-       除攝影機外，只考慮保障私隱的替代技術（即根據《個人資料（私隱）條例》中不應過度收集數據的原則，以及因應收集數據的目的，應該考慮收集最少資料的做法）。","City Management
Transport
","Artificial Intelligence (AI)
Cloud Computing
Internet of Things (IoT)
Machine Learning
","Traffic Snapshot Images on Smart Lampposts. There are public concerns on using cameras as it may touch on personal privacy.  Therefore technologies alternative to cameras will be explored which are privacy-friendly to provide ‘Traffic Snapshot Images’.. -	Provide real-time snapshot images of traffic on the road for the general public to visualize the latest traffic conditions at a specific road section regularly (e.g. every 2 minutes).
-	Explore alternative technologies other than cameras to capture low resolution images of 320 x 240 pixels with logo of TD, device ID, capture date, time and location.
-	Disseminate to the public every two minutes via open data portal and TD’s website / app.
-	Alternative technologies other than cameras which are privacy-friendly (i.e. no excessive data collection principle under the Personal Data (Privacy) Ordinance and the practice of collecting minimum information for the purpose of data collection) should be considered only."
N-0060,Estimate Sectional Travel Speed and Time on Smart Lampposts,從智慧燈柱上估算分段行駛速度和時間,"There are public concerns on using Bluetooth detector as it may touch on personal privacy.  Therefore technologies alternative to Bluetooth detectors and cameras will be explored which are privacy-friendly to provide ‘Estimate Sectional Travel Speed and Time’.

",公眾關注使用藍牙交通探測器有可能引起個人私隱問題。因此，需要探索可替代藍牙交通探測器和攝影機的技術，這些能夠保障私隱的替代技術提供“估算分段行駛速度和時間”。,"-	Estimate average vehicular travel time and speed for bypassing vehicles over defined road section.
-	Area of interest (at least 2 traffic lanes) including hardshoulder, marginal strip and in the middle of two traffic lanes.
-	Design for high speed free flow environments and capable of handling not less than 2,000 vehicles per hour in each traffic lane.
-	Delay over junction or varying traffic condition shall be taken into consideration.
-	Alternative technologies other than cameras which are privacy-friendly (i.e. no excessive data collection principle under the Personal Data (Privacy) Ordinance and the practice of collecting minimum information for the purpose of data collection) should be considered only.
","-       估算在特定路段上車輛的平均行駛速度和時間。
-       適用範圍包括路肩，邊帶和兩條行車道中間地帶。
-       專為高速車輛自由流動環境而設計，每條行車道每小時可處理不少於2,000輛汽車。 
-       應考慮路口的延誤或交通狀況的變化。 
-       除攝影機外，只考慮保障私隱的替代技術（即根據《個人資料（私隱）條例》中不應過度收集數據的原則，以及因應收集數據的目的，應該考慮收集最少資料的做法）。","City Management
Transport
","Artificial Intelligence (AI)
Cloud Computing
Internet of Things (IoT)
Machine Learning
","Estimate Sectional Travel Speed and Time on Smart Lampposts. There are public concerns on using Bluetooth detector as it may touch on personal privacy.  Therefore technologies alternative to Bluetooth detectors and cameras will be explored which are privacy-friendly to provide ‘Estimate Sectional Travel Speed and Time’.

. -	Estimate average vehicular travel time and speed for bypassing vehicles over defined road section.
-	Area of interest (at least 2 traffic lanes) including hardshoulder, marginal strip and in the middle of two traffic lanes.
-	Design for high speed free flow environments and capable of handling not less than 2,000 vehicles per hour in each traffic lane.
-	Delay over junction or varying traffic condition shall be taken into consideration.
-	Alternative technologies other than cameras which are privacy-friendly (i.e. no excessive data collection principle under the Personal Data (Privacy) Ordinance and the practice of collecting minimum information for the purpose of data collection) should be considered only.
"
