Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,,Siemens Ltd.,,"Enlighted solution captures power, light, motion, temperature and BLE data by one single 5 in 1 micro sensors.  It delivered the benefit of energy efficiency, space utilization as well as the asset tracking and location services to users.","Commerce and Industry
Education
Housing
Infrastructure
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
","It can improve the energy efficiency of the buildings. By the Enlighted Lite and Aire application, it can turn off the HVAC & lighting for the unoccupied area automatically. It can also provide the space utilization analysis to improve the utilization rate of the space.",www.siemens.com
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,,Siemens Limited,,"Centralized Air Conditioning Systems are the primary energy consumers in non-residential buildings, and the buildings industry has been looking for solutions to optimize energy usage of Centralized Air Conditioning Systems.","City Management
Environment
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
","This solution intends to optimize the operations of the legacy chiller plant(s) in buildings, demonstrate the possibility to deploy AI and HVAC domain technologies and innovation to reduce energy consumption of the chiller plant(s) through active actions based on data analytics and optimize environment conditions for tenant / user comfort.",www.siemens.com
S-0075,Altai SuperWiFi Solution,奧泰爾超級無線網絡方案,Altai Technologies Limited,奧泰爾科技有限公司,"Altai's patented technology offers WiFi solutions at a much lower total cost of ownership with fast scalability by deploying a much smaller number of APs comparing to other existing WiFi solutions. Altai's solution can therefore allow organizations that need wireless network to provide public services (e.g. educational or medical institutes) to save cost and maintain high quality of service. 
Altai's WiFi network can offer not only the coverage but also the high data rate bandwidth that is capable to enable multiple of applications instead of a network dedicated for just one single application.","City Management
Commerce and Industry
Education
Infrastructure
Recreation and Culture
Communications
","Data Analytics
WiFi
",A reliable and robust wireless network can connect people with their community by enabling online platforms. A WiFi network allows citizens to have easy access to public services via digital channels.  Any organization can make public announcement easily through a wireless network. A reliable network is also fundamental for government to collect and distribute real time information for a city-wide area.,https://www.altaitechnologies.com/
S-0076,NEC InfoCage FileShell,NEC 檔案安全管理軟件,NEC,,"NEC InfoCage FileShell is the software that protects electronic files containing confidential information by using IRM to prevent information leakage. InfoCage FileShell protects Microsoft Office files as well as electronic files in other formats including PDF, text (txt,xml), and CAD etc by expanding Microsoft's Active Directory Rights Management Services (AD RMS). 

InfoCage FileShell also automatically protects electronic files and limits viewing and editing operations according to user rights so that users can share personal information, design information, and other confidential information safely and smoothly.","Infrastructure
Law and Security
Information Security
","IRM
","Prevention of information leakage caused by user errors
- InfoCage FileShell automatically protects electronic files on the client PC. Even if electronic files are leaked due to a careless mistake, email sent to a wrong address or other reason, information leakage can be prevented because third parties cannot view the data.

Prevention of information leakage from contractors
- InfoCage FileShell can limit the viewing rights for Microsoft Office or CAD system electronic files passed to your contractors. This stops an employee at the contractor's viewing an electronic file that he/she has taken out of the company, preventing confidential information leakage. Moreover, because confidential information can still be shared while electronic files remain securely protected, operations can be performed without compromising convenience.

InfoCage FileShell does not increase the workload of users.
- Electronic files protected by InfoCage FileShell can be used in the same way as regular electronic files because decryption and other special operations are not required. In addition, linkage with Active Directory allows single sign-on authentication when using protected electronic files, relieving you of the hassle of password entry.

InfoCage FileShell provides security even if electronic files are leaked.
- InfoCage FileShell protects electronic files individually. Even if electronic files are leaked, they cannot be opened by users who do not have the correct rights. This prevents the risk of information leakage even if electronic files are leaked through a targeted attack (APT: Advanced Persistent Threat) or other illegitimate activity.",www.nec.com.hk
S-0077,Anywhere Networks,網進流動科技有限公司,Anywhere Networks ,網進流動科技有限公司,"Anywhere Networks (AN) is a leading wireless mesh technology company offering flexible and expandable network solutions for bandwidth-demanding applications, industrial and mission-critical infrastructure.","City Management
Infrastructure
Law and Security
","Data Analytics
Internet of Things (IoT)
Mobile Technologies
Predictive Analytics
","Our flagship Anywhere Node series eliminate the constraints of extensive fiber optic cabling and enable an easy and rapid deployment for IP cameras, Sensors, and IoT devices. It is a proven technology and cost-effective solution.",www.anywherenetworks.com
S-0078,Finger Vein PBI (Public Biometric Infrastructure) Platform for Smart City ID Authentication,,Hitachi East Asia Ltd.,,"1. To provide a Privacy-Friendly & Extreme-Secure Open Public Biometrics Authentication Platform by Seamless Integration of Finger Vein Biometrics, unique One-Way Biometric-Hashing Technology with PKI Network Security Mechanism to enable for various social demand from On-Line to Off-Line ID Authentication activities and effective Real-Name-System (實名制) implementation.  eg. ID verification in banking retail teller for preventing crimes, for public and health policy (cigarette, wine and concert ticketing selling), construction site labor authentication, boarder and transportation passenger access control, airport automatic boarding gate, empty-handed e-wallet payment, password-less Single-Sign-On, e-signature for Blockchain, digital legal/ mortage doc processing platform, large amount on-line fund transfer authentication, cross border on-line financing and legal platform , Secured Banking OpenAPI ID authentication operation ...
2. No need to store personal biometric characteristic data into the system, card or device. Preventing the risk of personal biometric data leakage.
3. Adopt PKI Network Security Framework to defense tough cyberattack.
4. One-time registration for universal Cyber-Real applications of smart city. It can avoid the current password restore method eg. by mobile phone SMS or token which has risk of being stolen even in just a few minutes 
5. Basic advantages of Finger Vein Biometrics  
a. It is inside human body which is difficult to copy. Suitable to perform as personal secret key. (face are open so it is logically not suitable for being as personal secret key, Finger Print is easy to copy) 
b. Finger vein is not a kind of intrusive type and criminal evidence type biometrics like finger print and face-recognition which will cause unhappiness to users if using for general, commercial and daily life purpose.","City Management
Commerce and Industry
Development
Employment and Labour
Finance
Health
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Data Analytics
Video Analytics
Biometric
","A. Latest Finger Vein PBI System:
1.  Yamaguchi Financial Group adopted Finger PBI  with for Retail Branch Counters for Digitalization & Paperless Services to replace Voucher, Signature or Stamp, and for Card-less ATM. PBI system also let the bank to waive the worry of storing clients biometric data.
2.  Hitachi Systems Ltd. released Finger Vein PBI Authentication Cloud Service
Barclays Bank using Finger Vein Authentication+PKI of Internet Banking for Large 
3. PoC of integrate PBI with Web SSO by a Kyoto university
4. Empty-handed payment Trail System in Hitachi's canteen
B. Finger Vein + PKI
1. Barclays Bank Corporate E-Banking in UK
2. Internal Work-Flow management for a bank in France
C. Origin Finger Vein
We sold over 500K units of Finger Vein Scanner in the world for different areas like Banking ATM in Japan, Europe and China, system control system for government and telecom companies, health club members verification system, China Elderly Social Security ID Authentication system, Workers ID Authentication & Time Attendance, Door Access Control, etc.",www.hitachi.cn
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",,Master Dynamic Ltd,,"1/ Using facial recognition for access control in various application (e.g. lift assignment, turnstile)
2/ Using object detection engine for analytics in people count, walking speed, movement direction, density of pedestrian.
3/ Using object detection engine for vehicle class detection, count and movement direction.","City Management
Commerce and Industry
Development
Population
Transport
","Artificial Intelligence (AI)
Data Analytics
Internet of Things (IoT)
Video Analytics
","For AccuID, it is a facial recognition engine that could integrate with various access control system. It provides a fast and accurate secured access to government promises for designated personnel only. We have experience to integrate with partner offering lift system to commercial buildings, so that when users pass through the access gateway, the lift could automatically be assigned the relevant floor immediately within seconds. Our system provide secured access also quick access for diverting congested traffic at lobby in seconds.

Pedestrian analytics solutions is using object detection to automate the counting and measurement of people crowds. The engine could provide statistics about people counting, gender and age group (in 10 years range) classification, walking speed, movement direction and density analytics. So instead of having real person to do ticker service for spot measurement at the street, the system could replace the manual work and populate statistical figures for further city planning analytics simply by setting up cameras for recording footages for automatic work flow.

Similar to pedestrian analytics, the vehicle analytic solutions could also record the no. of vehicles crossing a specific spot, the movement speed and change in direction. The system is planning to identify more than 14 class of vehicle, such that the information could be used for further road planning and traffic planning purposes.",https://www.master-dynamic.com/
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),OceanX企业内容管理 (ECM),OceanX Technology Limited. ,傲訊全通科技有限公司,"Support Cloud-based and On-premise Implementation
OceanX ECM provides a complete Enterprise Content Management solution with powerful functions including Document Management System (DMS), WorkFlow, Office Add-in, Outlook Add-in, Email Management, Capture, Share, Drive and PDFX. It replaces your Insecure and Chaotic File servers and provide a secured platform for B/Ds to discuss, share, and collaborate on business-critical content. OceanX ECM is the information lifecycle process that begins with creation, management, publishing, archiving, and final disposition to meet your Security and Governance requirements.
•	High Security – AES 256 encryption, document history, access control and audit trail
•	Office Add-in – Tightly Integrates Microsoft Office, enables users to Open, Edit, Save or Create in OceanX ECM
•	Version Control – Provides check-in / check-out / version control to protect ""Single Version Of The Truth""
•	Outlook Add-in – Email Management, Send & File. Users can also view and process files directly in Microsoft Outlook
•	OceanX Share – Securely share documents
•	OceanX Workflow – Document workflow approval process
•	OceanX Capture – Scan documents, patented CapturePlus technology improves OCR accuracy to 99.99%
•	Patented BuildingBlocks – Provide users with a personalized interface, increase user adoption rate","Commerce and Industry
Infrastructure
Law and Security
Compliance
","Cloud Computing
Mobile Technologies
Robotic Process Automation
","OceanX ECM is solution for organization to implement information governance policies, enhanced document security, ensure compliance, reduce cost of storage and to protect content information. 
It is used to mitigate all risk associated with Enterprise Content such (Governance risk, legal risk).  It is also to improve the efficiencies of company business operation. It can apply to the following corporate activities: 
-	Information Governance
-	Law & Professional Service Department
-	Human Resources Management
-	Financial Management
-	Case/Contract Management
-	Smart City

1.	Information Governance
- Centralized Repository; Encryption, Access Control and Audit Trail; Email Management; MS Office Integration; Indexing and Refiling (Filing to ECM is as simple as Filing in File System)
2.	Law & Professional Service Department
- Matter Folders; Email Management; MS Office Integration; Access Control and Audit Trail; Indexing and Refiling
3.	Human Resources Management
- Personnel file Creation; Personnel file Access and Moving; Personnel file Archiving; Personnel file Retention
4.	Financial Management
- Invoice Scanning; Invoice Indexing; Payment Process; Invoice Archiving and Retention
5.	Contract Management
- Contract Request; Contract Generation; Review and Amend; Renewal and Termination; Contract; Contract Approval
6.	Case Management 
- Case Folders create; Case status; Email Management; MS Office Integration; Access Control and Audit Trail
7.	Smart City
-	OceanX ECM makes use of innovation and technology to help government and enterprises achieve paperless office, save cost, improve effectiveness, efficiency and productivity",http://www.oceanxtech.com/
S-0081,iQ-Road and Traffic Management,,WildFaces Technology Limited,華飛思,"IQ-Road & Traffic is a comprehensive portfolio of applications that can fulfill each department’s specific requirements while operating as a single integrated system to ensure quick distribution of information to all concerned when any event occurs. The software can cope with complex and changing environments, such as
different time periods for parking regulations, parking specifications for particular vehicles, and the flexibility to meet any unexpected incidents. WildFaces also has a comprehensive monitoring system to monitor the entire city’s traffic, from high speed freeways to low-speed areas, such as schools, shopping malls and hospitals. Many other monitoring systems, require induction loops, radar and other technology that require civil works.","City Management
Development
Education
Housing
Infrastructure
Transport
","Artificial Intelligence (AI)
Data Analytics
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Predictive Analytics
","• Protect bridges and other critical infrastructure – e.g. detect abandoned objects or suspicious objects at the “pylon” or “footing” of bridges
• Surveillance system health check to prevent camera tampering or sabotage
• Traffic management – e.g. vehicle counting, average speed, congestion and average waiting time
• Comprehensive reporting across multiple cameras
• Parking violations and at the “No stopping zone”. Use of iQ-Hawk and License Plate Recognition or Face
Recognition system to assist law enforcement and automate the finding process for the violated vehicles and individuals
• Efficient Traffic light management – can be adjusted dynamically depends on the current traffic situation, e.g. allow longer time for pedestrians if there are more pedestrian waiting at the crossroads
• Smoke and fire detection particularly in the tunnel environment
• Road maintenance – understand the flow and maximum “loading” requirements particularly for large and heavy vehicles
• Prevent Hawking in prohibited areas
• Prevent certain vehicle types on certain road sections (e.g. bus lane)
• Detect illegal driving, e.g. speeding, red light violation, etc
• Traffic Light Management based on number of pedestrians at light
• Respond quickly to accidents – detect accidents, vehicle stopped, “near misses” on the roads or highways
• Detect “crossing lanes” on double solid lines in tunnel or prohibited sections
• Incorrect direction on one way roads
• Intrusion of bikes/humans on the road
• Color based detection
• Collision prevention at level crossings
• Detect abandoned objects or fallen objects/debris
• Detect pedestrian jaywalking, skateboarding etc
• Prevent people crossing the major highways or entering the tunnels",wildfaces.ai
S-0082,A.I. Contact Center and User Engagement Solution,智能聯絡中心和客戶互動解決方案,Set Sail Venture Limited,啟航創投有限公司,"The solution aims to solve the pain point of departments running a contact center. Our solution provides a 24x7 A.I. virtual assistant to handle inquiries in Chinese, Cantonese and English. The assistant can also be trained to follow up with the users. Departments can integrate the virtual assistant on multiple platforms such as WhatsApp, WeChat, Messenger, Websites and Mobile Apps as an effective engagement tool with the users. When the assistant does not know the answer, it can redirect to a human. Both voice and text are supported.","Broadcasting
Commerce and Industry
Finance
","Artificial Intelligence (AI)
Data Analytics
Deep Learning
Machine Learning
Natural Language Processing
","The A.I. Contact Center and User Engagement Solution improves the quality of public services in mainly five areas,

1) 24X7 automated handling of complaints and inquiry
The solution provides real-time response to inquiries across various channels, powered by a centralized natural language processing engine.
2) Integration with Live Chat solutions to provide 
The solution is integrated with many live chat solutions that can utilize skill-based routing to escalate the inquiry to human agents to handle. The responses provided by the human agent can be used to train the NLP service to handle in the future.
3) NLP Document Search
The solution can perform document search on forms, articles, and policies to find the most relevant information for the user inquiry. Compared to tradition keyword search, NLP search improves search accuracy by understanding searcher intent and the contextual meaning of the inquiry.
4) Centralized knowledge base for human agents and A.I.
The NLP services can also be used for the human agents to find the best answer when they handle public complaints. For human agent, they can utilize our solution to manage knowledge base, search handled inquiry cases, perform analytics in a single system.
5) Quality control and analytics
The solution provides insights and reports on the quality of the customer service for various complaints or inquiries, the percentage of inquiries being automated and highlight inquiries that require improvements.",http://chatbot.com.hk/
S-0083,Smart Pharma Packaging,智能藥品包裝,NFC Touch Limited,NFC Touch Limited,"A growing number of pharma companies are discovering the power of putting smart NFC tags on or into their product packages, as part of a label, a closure, or the container itself. Smart NFC tags can deliver several benefits. They give each product a unique identity, and support additional security features and functionalities, so each item easier to authenticate and trace. NFC tags also provide a direct link to the cloud, so products can join the pharmaceutical Internet of Things (IoT). By tapping the product package with an NFC-enabled smartphone, people can use the smart, IoT-connected NFC tag to access everything from authenticity checks to dosing information, diagnostic tools, and supply chain details.

There are three reasons why NFC tagging is an ideal choice for smart pharma applications. First, NFC is designed for secure ID applications, since each NFC tag carries a unique ID and can incorporate proven security features, including cryptographic algorithms, that safeguard data. Second, NFC offers data storage for on-product data, from a simple web link to a tamper-evident or ambient-temperature status, for quick, efficient interactions. And third, NFC connects to off-product information, providing access to large amounts of cloud-based data, such as detailed product information,  contextual rules for targeted messaging, historic tracking or an online authentication service. The result is a secure approach to digitalization for just about any pharma product.","City Management
Environment
Food
Health
Social Welfare
Medical
","Data Analytics
Internet of Things (IoT)
Radio Frequency Identification (RFID)
","The Benefits of Smart, NFC-driven Solutions

The features and functionalities described above – secure ID, on-product data, and off-product data – combine to yield a wide range of capabilities that deliver a variety of benefits, including increased patient safety, higher quality assurance, greater consumer/patient engagement, and more effective messaging and analytics.

1) Anti-Counterfeiting and Channel Traceability:
By helping to ensure patient safety, combat fraud, and increase traceability, NFC smart tags and labels help protect brands and increase consumer confidence.Inspectors and consumers can securely verify that a product is genuine. Verification can happen in near real time, anywhere in the world, by simply tapping an NFC-enabled smartphone to the product package.The need to combat counterfeit drugs is critical. The World Health Organization (WHO) recently reported that 8 to 15% of drugs sold globally are fake or substandard. Developing countries are more affected than developed countries. Not only do fake medicines impact pharma revenues, they pose a health risk, since they can contain incorrect doses, wrong ingredients, or no active ingredients at all.For channel traceability, and to help identify sales outside authorized markets, NFC tags can be assigned to specific distributors and locations. The ability to authenticate and trace products within the supply chain, using location awareness and cloud-based monitoring, also makes it easier for pharma companies to meet regulatory requirements and protect the last mile to the consumer. By identifying clusters of counterfeits, tampering episodes, or diverted products, pharma companies can take corrective actions sooner.
 

2) Anti-Tampering and other Product Integrity Assurance:
An increasing number of medication – as many as one-third of all new FDA approval in the U.S. – are heat sensitive, which means improper storage and transit issues can impact quality and reduce effectiveness. Regulations for temperature control cover the points between the pharma company and the pharmacy or hospital, but not the last mile to the patient. Smart NFC labels can be equipped with temperature sensors and data loggers that monitor ambient temperature changes at any time and report whether a product has been handled correctly, even once it’s left the supply chain and is in the patient’s hands. The pharma company can trace when and where any problems occur, for quick remediation, and patients can be certain of a drug’s quality and effectiveness.Tamper evidence, which indicates if a product has been opened or interfered with prior to sale, is another feature that can reassure patients. Tamper evidence can remove doubts about whether a product has been diluted, refilled, or otherwise substituted from the original, for increased consumer-patient confidence.
 

3) Consumer/Patient Engagement:
The increased use of apps, wearables, and sensors is evidence that patients want to be more engaged in their own care, want to play a more active role in managing their well-being, and want to know more about their medications. Deloitte reports that there are over 260,000 health apps in use worldwide and that 70% of patient groups use at least one app to manage their condition – making it clear that a mobile ecosystem has developed within healthcare.On-demand product information, such as ingredients, origin, expiration date, or intended use, along with interactions with smartphone apps, such as medication management tools, diaries, or alarms, and connection to doctors and social patient networks, give consumers new ways to become more engaged. Smart NFC labels and packages can help patients stick to their treatment plans, since the technology lets pharma companies communicate key information, such as dosage and usage information, directly to patients via their smartphones.WHO estimates that more than half of patients with chronic diseases fail to adhere to their prescribed therapy. Smart NFC packages can be configured to sense when a pill is taken out of a blister package and then log date and time of the action. This feature, when used with an NFC phone and an app, can generate reminders to take a pill and/or check proper dosage. When combined with cloud connectivity, it can enable treatment monitoring and advice by a physician. Helping patients keep to their dosing schedules can be especially useful with the treatment of chronic illnesses, such as high blood pressure, diabetes, and other conditions that need ongoing care.Smart NFC packages also give patients a way to interact with pharma companies, in support of the pharmacovigilance tasks related to product safety. Mobile consumer/patient engagement can help identify and prevent adverse effects associated with a given medication. Patients can use an application to report any health issues associated with use of a product, and pharmaceutical companies can inform their app users if a product is recalled. These kinds of interactions also create closer relationships between pharma companies and their consumer/patient customers.
 

4) Automated Device Interaction:
Health devices, such as glocuse meters and other drug-delivery devices, can be equipped with NFC readers that communicate with NFC tagged refills, to automatically confirm origin and prevent container re-use. NFC tagged refills can make products easier to use, too. By storing configuration data, the NFC tag can automate setups, and by storing expiration dates, the NFC tag can ensure the refill is still within its recommended use period.
",http://nfctouch.com.hk/smartpackaging_c.html
S-0084,NFC Product Authentication,NFC防偽解決方案,NFC Touch Limited,NFC Touch Limited,"Customs are responsible for about 70% of all seizures of counterfeit products in the world. The role of customs is especially important in protecting the Hong Kong because the vast majority of counterfeit products are imports and, after entering the market, subject to free circulation within the community. However, in anti-counterfeiting customs role is more supportive than proactive, which means that customs mostly provide help to trademark owners to protect their IPRs when this is requested.

Customs authorities fail to seize large amounts of counterfeits either because they do not know how to recognize the fakes or because the process of gathering statements from trademark owners is too time-consuming. Proper labelling, overt anti-counterfeiting technologies and training in recognizing counterfeits would, for example, assist officials in enforcing the IPRs of affected trademark owners. Furthermore, the lack of information sharing is often perceived to be one of the main obstacles in the fight against counterfeiters. Finding counterfeit products is one part of customs responsibility to control the trade. Other control objectives include finding various kinds of dangerous materials. While controlling the trade, however, customs also work to facilitate the trade in order not to disturb import and export. These two objectives conflict and thus customs always have to balance the trade-off between control and facilitation. Taking into account also the fact that the vast majority of goods that pass through customs are legal and thus should not be disturbed, it can be seen that finding counterfeit goods is not among customs' top priorities.

Fortunately, development in technology has also enabled novel countermeasures. Most notably, the emerge of radio-frequency identification technology has opened many opportunities to fight illicit trade. NFC allows for identification of tagged objects and establishes a link between the physical world and a virtual world with a mobile phone at any place and time. This so called dual existence of objects enables a number of new ways to manage the physical world, and thus NFC is being used for example to automate many supply chain processes.","Commerce and Industry
Food
Housing
Law and Security
Transport
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
Predictive Analytics
Radio Frequency Identification (RFID)
","Our patented solution is a turnkey solutions platform which enables businesses, government and customer to digitize their physical products and assets. It creates secure digital identities for each instance of these in the Cloud, and provides the means to authenticate, track, sense, and engage customers, partners, and employees through the value chain.
 
For the first time brands, customs and customers can get the highest possible level of visibility and transparency for each individual product and asset from the point of manufacture, throughout the supply chain, across all channels, point of sales and point of use. And they can fundamentally change the way in which human interact with products - at the tap of a smartphone.
 
The benefits of product digitization are virtually unlimited:
•	Optimizing manufacturing and supply chain by tracking every single product with item-level granularity and turning demand visibility into allocation efficiency
•	Maintaining inventory accuracy of close to 100%, avoiding stock outs with rapid replenishment, instantly locating misplaced items, and preventing product loss
•	The administrative tracking system can provide a robust set of real time information about the status of the company’s products in the field
•	Enhancing brand protection through consumer-based product authentication and grey market detection",http://nfctouch.com.hk/nfcauthentication.html
S-0085,SAP Geospatial Asset Management,,SAP Hong Kong Co. Limited,,"Harnessing the power of S/4HANA Geo Enablement Framework (GEF), we can integrate with a geospatial software and allow users to manage the work needed to be done to maintain the assets from a MAP thereby increasing productivity significantly (e.g. by grouping work for an area to be done by a contractor from the map based on priority/ criticality) which can result in cost savings and better customer response time. It can also do analytics on asset by combining the capabilities of the geospatial software and work history found inside SAP (e.g. how weather condition affects the maintenance frequency of assets).","City Management
Climate and Weather
Commerce and Industry
Development
Education
Finance
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Transport
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
Natural Language Processing
","#1 Allows more efficient work planning by using map to group work that needs to be done in a particular area
#2 Identify the impact of maintenance stategies, quality of products and services by combining all the work and cost information linked to assets
#3 A holistic view of Asset Management from Planning to construction to Maintenance to Retirement resulting in optimisation of asset use (increase in reliability/ availability) and cost control
SOLUTION
▪ SAP EAM, LAM, GEF on S/4 HANA + Vesta CODEX + Mobility
BENEFITS
▪ Single source of truth for all your maintenance history of all your assets
▪ Can be used to vegetation management on highways or roads
▪ link maintenance history and cost, allowing analysis of cost vs reliability of assets thus optimising future purchase plans",www.sap.com
S-0086,Micro-Chip 2.0 for pets,寵物芯片2.0,NFC Touch Limited,NFC Touch Limited,"For many decades, Hong Kong has relied on a removal methodology that is effectively one of ""Catch and Kill"" to deal with the stray animal population. With Catch and Kill, animals must be caught and killed every year to control the population. In 2009, the cost to the HK Government of capturing, keeping and euthanising stray dogs and cats was about HK$30 million. AFCD has been accursed of killing animals by the public and have caused bad reputation for the department which have a mission of enhancing animal welfare. 

Our solution provide an out-of-the box solution to the Handling of reported lost pets. At the moment, the completeness of micro-chip information needed to be improved. Dogs’ microchip numbers could help the AMCs unite lost dogs with their keepers. However, half of reported lost dogs were not microchipped and licensed accordingly.","City Management
Environment
Social Welfare
","Internet of Things (IoT)
Mobile Technologies
Radio Frequency Identification (RFID)
","The O2O platform developed will allow any pet finder with a smartphone or internet access to make direct contact with the pet owner. This is done with extreme privacy control where the pet owner wouldn't disclose any personal data throughout the process. The pet owner can manage and update their pet info 24/7. 

This will include an online web platform and mobile App for both iOS and Android. Hardware products will include micro-chip 2.0 or Smart Pet ID Tag using NFC (Near Field Technology).

Our Micro-chip 2.0 solution can provide breakthrough to the existing method to enhance current RFID chipping system, e.g.:

1.	Send Mobile notification to all pets owner within the community when pet lost has occurs, to allow pet community to help each other on their lost pets.
2.	No RFID reader is required to read the data on the tag, any person can use their mobile as the reader to read the NFC chip.
3.	The micro-chip system with our Mobile App would allow the founder to make direct contact with the lost pet owner without knowing any of the pet’s owner data e.g. phone number, email or name. The communication between the founder and the owner can be done within 10 second.
4.	Since pet info can be updated easily online therefore the data is more likely to be updated.",http://nfctouch.com.hk/index_c.html
S-0087,Smart Citizen and Employee Self-Services,智慧公民和員工自助服務,SAP Hong Kong Co. Limited,,"Citizen perspective requirements:
- Single view of the customer across council services
- Increased information about tenants on top of data holdings on council properties
- Consistent way of looking at properties across councils and consistent memorandums issued to citizens
- Single integrated IT platform and business applications across councils, with no functional overlap and data duplication
- Reduce or eliminate people-intensive, region-specific services, and improve workforce deployment options and responsiveness

Employee perspective requirements:
- A mobile HR app for employees to use anywhere, anytime
- Reduce or eliminate the need for field-based workers to return to the office
- Remove the need for managers to be in the office to make approvals
- Improve the accuracy of data capture

The SAP solution that includes SAP Fiori and SAP Mobile Platform, integrated with the core business process systems, results in fully automated, e-archived services accessible to citizens and employees round the clock, at home or on the move.","Broadcasting
City Management
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Social Welfare
Transport
","Cloud Computing
Data Analytics
Internet of Things (IoT)
Mobile Technologies
","For citizens:
- A single view and enhanced understanding of customers that provides new insights
- Enables delivery of new services based on commercialized data, and streamlines business processing
- Better service with a digital identity that allows citizens to serve themselves at anytime
- Greater customer engagement and experience by using mobile devices from anywhere

For employees:
- Flexibility to deploy the government workforce in response to current events, including working from home
- Time and resources saved by replacing multiple manual systems with online services
- Complex manual calculations automated and integrated across departments, resulting in greater efficiency and accuracy",www.sap.com
S-0088,NaN,公共車輛實時到站預報系統及實時座位偵測系統,SOCIF LIMITED,,"SOCIF has developed a comprehensive intelligent travel IoT system for vehicles.By installing a GPS touch screen device on the vehicle, through our cloud computing algorithm, big data analysis and predictive analysis, we can obtain real-time arrival forecasts of any vehicles traveling on regular routes.By deploying our customized camera on the vehicle, through artificial intelligence, machine learning, deep learning and image analysis technology, it will detect human movement, flow, seat occupation, etc. in the vehicle (and even obtain its identity through facial recognition technology), So as to obtain the actual seat occupancy rate accordingly.

This system can promote real-time monitoring of public transportation or other departmental fleets, personnel deployment management, traffic analysis and city management.","City Management
Commerce and Industry
Development
Employment and Labour
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Deep Learning
Internet of Things (IoT)
Machine Learning
Predictive Analytics
Video Analytics
","For public departments such as the Transport Department, the system can bring huge benefits to urban traffic management, such as a deeper understanding of the real-time needs of the minibus industry, obtaining citizens' daily travel footprints across regions, optimizing public transportation efficiency and redistributing societyResources.More importantly, Hong Kong will make further progress in the direction of smart travel technology, and make similar technology the basic configuration of public agencies' travel vehicles.The data generated can further cultivate more public and commercial innovations.

For other public sectors, the system can greatly promote its fleet and personnel deployment management, such as knowing that the employee is on duty in the vehicle, real-time seat occupancy rate and arrival time forecast.The system can also better promote communication and connection between traveling vehicles and employees.For the above technologies, tests can be customized according to the requirements of the public sector.",
S-0089,Smart Infrastructure Projects Planning and Execution,智慧基礎建設項目規劃與執行,SAP Hong Kong Co. Limited,,"One of the major challenges faced by government today comes from the need to manage a very diverse and complex real estate and asset portfolio; the pressure to reduce environmental footprint; the requirement to reduce cost and to optimize the portfolio; and the need to improve content management efficiency and enable a single version of the document. The SAP Smart Infrastructure Planning and Execution solution effectively combines functionalities from (1) Project and Portfolio Management, (2) Commercial Project Management, (3) Real Estate Management, (4) Extended Enterprise Content Management, (5) Asset Intelligence Network and (6) Project Information Network to meet these requirements.","City Management
Commerce and Industry
Development
Finance
Infrastructure
","Artificial Intelligence (AI)
Cloud Computing
Data Analytics
Internet of Things (IoT)
Machine Learning
Mobile Technologies
Predictive Analytics
","To better manage a diverse and complex portfolio of assets.
- Eliminate silos by connecting all processes to one unified system
- Remove barriers between processes to simplify day-to-day activities
- Schedule and coordinate activities amongst departments and private entities/contractors
- Enhance project visibility and performance through improved insight and control and optimized process efficiency

To reduce environmental footprint
- Quickly compare locations to evaluate success of sustainability efforts
- Achieve green targets with improved sustainability and reduced resource consumption
- Improve monitoring of resource consumption by location and technical component to find areas for improvement
- Access building information systems from analysis cockpit
- Drill directly into building information system
- Analytics to determine best strategy

To reduce cost and to optimize the portfolio
- Eliminate silos by connecting all processes to one unified system
- Reduce project cost and risks through improved transparency and data consistency
- Lower real estate occupancy costs
- Match space demands with available resources
- Encourage optimal use of space through integrated cost allocations
- Simplify space assignments
- Native integration to CAD & GIS systems

To improve content management efficiency and enable a single version of the document
- Streamline decision-making and shorten approval cycles from months to weeks
- Digitalise the distribution of documents such as contract and budgets to provide faster access to funds
- Accelerate enterprise content processes with automated workflows
- Make sure documents are available at the right place and time by automating document delivery and return
- Support users on the go with mobile scanning and access to documents and workspaces
- Provide a single source of information for internal and external stakeholders
- Increase transparency and foster public awareness",www.sap.com
