Reference Code,Solution Name (Eng),Solution Name (TC),Company Name (Eng),Company Name (Tc),Solution Description,Application Areas,Technologies Used,Use Case,Website,Model Input
S-0168,IXIA Vision ONE (Network Packet Broker),,UDS Data Systems Limited,,"Amplify your security without change a cable . Ixia Vision ONE provide IT Operations the ability to deploy resource where they be need most and secure any traffic in their network . Ixia Vision ONE act as the first step to security , provide reliable inline connectivity for security tool such as intrusion prevention system ( IPS ) , data loss prevention ( DLP ) , and Web firewall . It simultaneously connect out-of-band monitoring tool like intrusion detection system ( IDS ) and data recorder . Integrated intelligence feature enable you to access encrypt traffic use SSL decryption , reduce analysis traffic use advanced packet processing , and precisely select traffic by application type , and geography . Ixia Vision ONE forward select traffic in a variety of format to interoperate with any security tool .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Data Analytics
Machine Learning
","• Powerful GUI allow you to focus on security rather than configuration—the industry-leading user interface and patented filter compiler make configuration simple for both inline and out-of-band topology • CLI support for NetStack and inline feature • Active SSL the ability to decrypt and re-encrypt traffic as an active SSL proxy for both inline and out-of-band tool deployment . Offloads the SSL burden from tool to improve ROI and security performance • Passive SSL decryption provide downstream security tool with plain text content , so they do not need to support or incur the performance overhead of decrypt traffic to find hidden threat • VOIP / VoLTE support provide correlation , sample and whitelisting of SIP/RTP traffic . Allows visibility into Evolved Packet Core ( EPC ) and IP Multimedia Core Network Subsystem ( IMS ) interface base on SIP message • Zero-loss advance packet processing improve security tool efficiency through technique such as deduplication and packet trim without drop packet • Classify traffic in real time with hundred of pre-loaded application signature , and direct it to the correct tool accord to parameter such as application type , geolocation , or even handset type—so tool get just the traffic type they need , again optimize your investment in tool infrastructure • Sophisticated load balance distributes traffic across several tool for monitoring or inline in serial or parallel to maximize up-time and ensure that no critical data be lose • Comprehensive wizard make inline tool deployment extremely easy for complex use case that require tool sharing or VLAN translation • Space efficient 1RU design save rack space in your data center • Secure serial console port with authentication",www.udshk.com,"IXIA Vision ONE (Network Packet Broker). Amplify your security without change a cable . Ixia Vision ONE provide IT Operations the ability to deploy resource where they be need most and secure any traffic in their network . Ixia Vision ONE act as the first step to security , provide reliable inline connectivity for security tool such as intrusion prevention system ( IPS ) , data loss prevention ( DLP ) , and Web firewall . It simultaneously connect out-of-band monitoring tool like intrusion detection system ( IDS ) and data recorder . Integrated intelligence feature enable you to access encrypt traffic use SSL decryption , reduce analysis traffic use advanced packet processing , and precisely select traffic by application type , and geography . Ixia Vision ONE forward select traffic in a variety of format to interoperate with any security tool .. • Powerful GUI allow you to focus on security rather than configuration—the industry-leading user interface and patented filter compiler make configuration simple for both inline and out-of-band topology • CLI support for NetStack and inline feature • Active SSL the ability to decrypt and re-encrypt traffic as an active SSL proxy for both inline and out-of-band tool deployment . Offloads the SSL burden from tool to improve ROI and security performance • Passive SSL decryption provide downstream security tool with plain text content , so they do not need to support or incur the performance overhead of decrypt traffic to find hidden threat • VOIP / VoLTE support provide correlation , sample and whitelisting of SIP/RTP traffic . Allows visibility into Evolved Packet Core ( EPC ) and IP Multimedia Core Network Subsystem ( IMS ) interface base on SIP message • Zero-loss advance packet processing improve security tool efficiency through technique such as deduplication and packet trim without drop packet • Classify traffic in real time with hundred of pre-loaded application signature , and direct it to the correct tool accord to parameter such as application type , geolocation , or even handset type—so tool get just the traffic type they need , again optimize your investment in tool infrastructure • Sophisticated load balance distributes traffic across several tool for monitoring or inline in serial or parallel to maximize up-time and ensure that no critical data be lose • Comprehensive wizard make inline tool deployment extremely easy for complex use case that require tool sharing or VLAN translation • Space efficient 1RU design save rack space in your data center • Secure serial console port with authentication"
S-0169,Robotic Assistant,機械助手,Pauldesign Limited,正一有限公司,"Provide intelligent robot as assistant to replace real people in public service to provide basic service for the public . It can respond to simple common problem more efficiently , save manpower , be environmentally friendly , and use human resource allocation more effectively .","Education
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Machine Learning
",".Automatic exhibition navigation , exhibit introduction and intelligent answering . .Intelligent personal assistant , organize daily schedule and reminder . .Provide mobile video conference function , effectively solve the limitation of fixed-point conference . .Can be use for public service guidance and interaction.For example , it can be use as a navigator in large-scale public event , give direction and provide emergency contact service .",www.pauldesign.com.hk,"Robotic Assistant. Provide intelligent robot as assistant to replace real people in public service to provide basic service for the public . It can respond to simple common problem more efficiently , save manpower , be environmentally friendly , and use human resource allocation more effectively .. .Automatic exhibition navigation , exhibit introduction and intelligent answering . .Intelligent personal assistant , organize daily schedule and reminder . .Provide mobile video conference function , effectively solve the limitation of fixed-point conference . .Can be use for public service guidance and interaction.For example , it can be use as a navigator in large-scale public event , give direction and provide emergency contact service ."
S-0170,Nixplay Signage,Nixplay雲端電子廣告板,Nixplay Signage,Nixplay雲端電子廣告板,"Nixplay Signage be a cloud-based content management solution ( CMS ) that integrate hardware and software . It be scalable , easy-to-use and require no special training . Our signage size range from 8 '' to 55 '' , and Signage Player allow you to run our software on your own display . It be easy to use , time saver and be a cost-effective CMS solution with a 3-year product warranty . With just one online account , you can 1 ) Remotely control up to 1,000 display , 2 ) Create , schedule and publish campaign from anywhere 3 ) Add and manage user to scale up your signage operation and more other feature .","Broadcasting
Commerce and Industry
Education
Health
Recreation and Culture
Transport
","Cloud Computing
Internet of Things (IoT)
","1 . Health Centre In every health centre , numerous print poster staple to the notice board that information become outdated , and the most important announcement often go unnoticed in the sea of flier . With Nixplay Signage , health centre can be more strategic about what information to share , when and where . Information stay update , and system administrator can push real-time alert in emergency situation . Besides , digital signage reduces paper consumption and printing while allow as many message to display as often as require . It save a lot of time and effort on photocopying , audit , as well as printing . Nixplay Signage enable a real time content update . Take the recent novel coronavirus outbreak as an example , the Health Centre can respond to the outbreak immediately by show health alert message , late news , and hygienic instruction to all health centre by just a few click through the CMS . 2 . Public Library In the library , there be million of book that visitor might find difficult to locate the book they want . Digital signage content can be update in real time , so people always know exactly what ’ s updated information . Recommended content for library digital signage include new book arrival , staff pick , library announcement , etc . Events , holiday and activity can be schedule to play at specific time month in advance . Just think of all that time save from have to pin-up and print out poster . Digital wayfinding also improve visitor satisfaction and eliminate confusion that help them to locate the facility easily .",www.nixplaysignage.com.hk,"Nixplay Signage. Nixplay Signage be a cloud-based content management solution ( CMS ) that integrate hardware and software . It be scalable , easy-to-use and require no special training . Our signage size range from 8 '' to 55 '' , and Signage Player allow you to run our software on your own display . It be easy to use , time saver and be a cost-effective CMS solution with a 3-year product warranty . With just one online account , you can 1 ) Remotely control up to 1,000 display , 2 ) Create , schedule and publish campaign from anywhere 3 ) Add and manage user to scale up your signage operation and more other feature .. 1 . Health Centre In every health centre , numerous print poster staple to the notice board that information become outdated , and the most important announcement often go unnoticed in the sea of flier . With Nixplay Signage , health centre can be more strategic about what information to share , when and where . Information stay update , and system administrator can push real-time alert in emergency situation . Besides , digital signage reduces paper consumption and printing while allow as many message to display as often as require . It save a lot of time and effort on photocopying , audit , as well as printing . Nixplay Signage enable a real time content update . Take the recent novel coronavirus outbreak as an example , the Health Centre can respond to the outbreak immediately by show health alert message , late news , and hygienic instruction to all health centre by just a few click through the CMS . 2 . Public Library In the library , there be million of book that visitor might find difficult to locate the book they want . Digital signage content can be update in real time , so people always know exactly what ’ s updated information . Recommended content for library digital signage include new book arrival , staff pick , library announcement , etc . Events , holiday and activity can be schedule to play at specific time month in advance . Just think of all that time save from have to pin-up and print out poster . Digital wayfinding also improve visitor satisfaction and eliminate confusion that help them to locate the facility easily ."
S-0171,Augmented Reality (AR) model,擴增實境模組,Pauldesign Limited,正一有限公司,"The regional model 3D module be display in the form of augmented reality ( AR ) , which can be use with a physical white model or a map to observe the virtual model on a tablet computer . Adding three-dimensional marker can detail more feature and detail . Not limit by location , 3D regional model can be present and display anytime and anywhere . Unlike traditional architectural model , the terrain and development can be update at any time , which be more environmentally friendly and faster . It can also be use for teach purpose and publicity work .","City Management
Education
Environment
Infrastructure
Recreation and Culture
","Augmented Reality
Virtual Reality
","Show facility update and development , fast and superficial method for public understanding.Highly mobile and productizable , it can be exhibit in different place and location .",www.pauldesign.com.hk,"Augmented Reality (AR) model. The regional model 3D module be display in the form of augmented reality ( AR ) , which can be use with a physical white model or a map to observe the virtual model on a tablet computer . Adding three-dimensional marker can detail more feature and detail . Not limit by location , 3D regional model can be present and display anytime and anywhere . Unlike traditional architectural model , the terrain and development can be update at any time , which be more environmentally friendly and faster . It can also be use for teach purpose and publicity work .. Show facility update and development , fast and superficial method for public understanding.Highly mobile and productizable , it can be exhibit in different place and location ."
S-0172,Earthy,Earthy,Earthy,Earthy,"Earthy be a geo-intelligent smartphone application for advanced chat . Use your native language to speak every language with automated translation power by A.I. ! We translate as you hit Send and cover over 100 language . The app have geo-intelligence so you can easily find local and local business . Find yourself and friend by create public and private chat-grid group . Share grids with friend , family , and your business partner . We 're build for broad human connection .","City Management
Commerce and Industry
Development
Education
Employment and Labour
Finance
Food
Health
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Cloud Computing
Deep Learning
Machine Learning
Mobile Technologies
Natural Language Processing
","There be many application and use case for Earthy , which increase information sharing , safety , and decrease cost to the government . If a city employee be try to communicate with a foreigner , they can communicate without share any language in common . Earthy can be use in a modern international marketplace set where seller , vendor , client and supplier can coordinate more efficiently . A team of city employee of diverse background can coordinate through their day in a complex city share information and location . If the city want to hire immigrant or help integrate them into the culture of their city , Earthy be a valuable tool to track and communicate with them . An airport be always fill with a huge variety of people from many destination . Security at the airport have a straight-forward job to protect public safety , but they must navigate different passenger and traveler from every corner of the globe . With Earthy , they can speak 100+ language as easily as they use their native language .",www.meetearthy.com,"Earthy. Earthy be a geo-intelligent smartphone application for advanced chat . Use your native language to speak every language with automated translation power by A.I. ! We translate as you hit Send and cover over 100 language . The app have geo-intelligence so you can easily find local and local business . Find yourself and friend by create public and private chat-grid group . Share grids with friend , family , and your business partner . We 're build for broad human connection .. There be many application and use case for Earthy , which increase information sharing , safety , and decrease cost to the government . If a city employee be try to communicate with a foreigner , they can communicate without share any language in common . Earthy can be use in a modern international marketplace set where seller , vendor , client and supplier can coordinate more efficiently . A team of city employee of diverse background can coordinate through their day in a complex city share information and location . If the city want to hire immigrant or help integrate them into the culture of their city , Earthy be a valuable tool to track and communicate with them . An airport be always fill with a huge variety of people from many destination . Security at the airport have a straight-forward job to protect public safety , but they must navigate different passenger and traveler from every corner of the globe . With Earthy , they can speak 100+ language as easily as they use their native language ."
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,,Go VR Immersive Ltd.,,"Holographic technology enable the blending of physical world with digital content to build a new Mixed Reality environment . Microsoft Hololens allow you to interact with virtual hologram and real object in physical world which offer a unique Mixed Reality experience . The late HoloLens 2 offer the most comfortable and immersive mixed reality experience available , with industry-leading solution that deliver value in minute — all enhance by the reliability , security , and scalability of cloud and AI service from Microsoft . We can offer customized business solution and application development to wide-ranging of us of Hololens 2 in different industry .","City Management
Commerce and Industry
Development
Education
Employment and Labour
Environment
Health
Housing
Infrastructure
Population
Recreation and Culture
Social Welfare
Transport
","Artificial Intelligence (AI)
Augmented Reality
Cloud Computing
Mixed Reality
Virtual Reality
",Case Example : We develop a Mixed Reality solution to help demonstrate some of the analysis function with the Microsoft Hololens Mixed Reality device . Users can interact with the holographic model project in the open space and perform various analysis on different urban planning option as if they be plan for the betterment of the city .,www.govrimmersive.com,"Go VR Immersive - Hololens 2 Mixed Reality Solution. Holographic technology enable the blending of physical world with digital content to build a new Mixed Reality environment . Microsoft Hololens allow you to interact with virtual hologram and real object in physical world which offer a unique Mixed Reality experience . The late HoloLens 2 offer the most comfortable and immersive mixed reality experience available , with industry-leading solution that deliver value in minute — all enhance by the reliability , security , and scalability of cloud and AI service from Microsoft . We can offer customized business solution and application development to wide-ranging of us of Hololens 2 in different industry .. Case Example : We develop a Mixed Reality solution to help demonstrate some of the analysis function with the Microsoft Hololens Mixed Reality device . Users can interact with the holographic model project in the open space and perform various analysis on different urban planning option as if they be plan for the betterment of the city ."
S-0174,VR Training & Education System,VR培訓與教育系統,Latersoft Corporation Limited,科雲網絡有限公司,"Our VR training system can provide immersive and actual-feeling for user to understand different training detail . In particular , for some special condition such as scenario of accident ( e.g . fire accident , poisonous liquid leakage or short-circuit ) and dangerous or prohibit area ( e.g . custom area ) , it be difficult to provide training for officers/technicians . With our VR training solution , we can 1:1 simulate the actual environment and specific scenario for trainee . In addition , we can collect data of user movement , decision making and trainee information throughout the training . With those data , we can provide data analysis for analyze trainee 's behavior and feedback to trainer to pinpoint the area of improvement . The result report can be store on cloud server and to be review through browser and mobile platform ( iOS & Android ) . Currently , our solution have help various government department and large enterprise for their staff training and safety/precaution education .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
","Augmented Reality
Cloud Computing
Data Analytics
Mixed Reality
Mobile Technologies
Virtual Reality
","Case 1 : VR train for handle the accident of poisonous liquid leakage It be impossible for officer to practice how to handle the accident of poisonous liquid leakage . To improve their efficiency of disaster management , we can provide VR Training system to simulate the accident scenario and trainee can learn and feel the actual accident and practice the safety measure in VR . By have such training , officer can have good experience in handle such disaster with high sense of safety . Case 2 : VR Training for maintenance of custom area There be many safety measure during maintenance of machine and electric board in building . However , it be difficult to arrange training session in custom area . By VR Training system , we can simulate the custom area and let trainee get familiar with the actual environment in VR . After have VR Training , technician will have good safety measure and much less likely to have accident during maintenance .",www.latersoft.com,"VR Training & Education System. Our VR training system can provide immersive and actual-feeling for user to understand different training detail . In particular , for some special condition such as scenario of accident ( e.g . fire accident , poisonous liquid leakage or short-circuit ) and dangerous or prohibit area ( e.g . custom area ) , it be difficult to provide training for officers/technicians . With our VR training solution , we can 1:1 simulate the actual environment and specific scenario for trainee . In addition , we can collect data of user movement , decision making and trainee information throughout the training . With those data , we can provide data analysis for analyze trainee 's behavior and feedback to trainer to pinpoint the area of improvement . The result report can be store on cloud server and to be review through browser and mobile platform ( iOS & Android ) . Currently , our solution have help various government department and large enterprise for their staff training and safety/precaution education .. Case 1 : VR train for handle the accident of poisonous liquid leakage It be impossible for officer to practice how to handle the accident of poisonous liquid leakage . To improve their efficiency of disaster management , we can provide VR Training system to simulate the accident scenario and trainee can learn and feel the actual accident and practice the safety measure in VR . By have such training , officer can have good experience in handle such disaster with high sense of safety . Case 2 : VR Training for maintenance of custom area There be many safety measure during maintenance of machine and electric board in building . However , it be difficult to arrange training session in custom area . By VR Training system , we can simulate the custom area and let trainee get familiar with the actual environment in VR . After have VR Training , technician will have good safety measure and much less likely to have accident during maintenance ."
S-0175,Thermal Imaging Body Temperature Measurement Solution,,NCSI (HK) Limited,,"With this technology , public place for various entrance and exit can measure body temperature in a fast and effective way . It can also prompt out alert from the system automatically in case the body temperature in an individual have exceed the normal level .","Health
Housing
Population
","Data Analytics
Video Analytics
","With this technology , public place for various entrance and exit can measure body temperature in a fast and effective way . It can also prompt out alert from the system automatically in case the body temperature in an individual have exceed the normal level . Rapid body temperature screen Solution Benefit : - Early warning of abnormal body temperature - High accuracy of body temperature detection - High adaptability environmental The system can be apply to various area where early detection of individual with fever symptom be necessary to prevent wide spread of the infection of virus .",www.ncs.com.sg,"Thermal Imaging Body Temperature Measurement Solution. With this technology , public place for various entrance and exit can measure body temperature in a fast and effective way . It can also prompt out alert from the system automatically in case the body temperature in an individual have exceed the normal level .. With this technology , public place for various entrance and exit can measure body temperature in a fast and effective way . It can also prompt out alert from the system automatically in case the body temperature in an individual have exceed the normal level . Rapid body temperature screen Solution Benefit : - Early warning of abnormal body temperature - High accuracy of body temperature detection - High adaptability environmental The system can be apply to various area where early detection of individual with fever symptom be necessary to prevent wide spread of the infection of virus ."
S-0176,Epidemic prevention and control management system,疫情防控管理系統,"Sinoini innovation hitech co., ltd",國享源創科技有限公司,"The face + iris recognition system provide customer the high secure identity recognition solution and a `` Touch-free Access '' experience . Contactless access control system do not have the risk of bacterial transmission . At the same time , it be not affect by mask and glass . Temperature detection function : Automatically check and record temperature when enter . Our system advantages： 1.High hygiene & security : The system be non-contact temperature detection and personnel identification . No need to take off mask , glass and other protective measure , this can effectively prevent cross infection ; 2.Fast recognition speed : Binding measurement temperature and identity information within 2s , suitable for place with many people , easy to complete temperature monitoring and identify personal identity simultaneously . 3.Rapid deployment : Install and use instantly . 4.Traceability : All people 's entry and exit record and temperature be record in real time . In case of confirmed case , relevant contact can be trace back .","City Management
Commerce and Industry
Development
Employment and Labour
Environment
Health
Housing
Infrastructure
Population
Recreation and Culture
Social Welfare
","Artificial Intelligence (AI)
Data Analytics
Internet of Things (IoT)
Facial Recognition，Iris Recognition
","Our identification system be non-contact and not affect by mask , It can accurately identify personally identifiable information and record body temperature . The system will identify all incoming personnel and measure their temperature , and bind temperature data to everyone in real time . Since the virus be a transmissible disease , once a suspected patient be find . It need to find close contact with patient . This will be an effective mean to prevent the spread of the epidemic . And our system can find people who have close contact with suspect patient in a short time . Our system be suitable for all department .",www.sinoini.com,"Epidemic prevention and control management system. The face + iris recognition system provide customer the high secure identity recognition solution and a `` Touch-free Access '' experience . Contactless access control system do not have the risk of bacterial transmission . At the same time , it be not affect by mask and glass . Temperature detection function : Automatically check and record temperature when enter . Our system advantages： 1.High hygiene & security : The system be non-contact temperature detection and personnel identification . No need to take off mask , glass and other protective measure , this can effectively prevent cross infection ; 2.Fast recognition speed : Binding measurement temperature and identity information within 2s , suitable for place with many people , easy to complete temperature monitoring and identify personal identity simultaneously . 3.Rapid deployment : Install and use instantly . 4.Traceability : All people 's entry and exit record and temperature be record in real time . In case of confirmed case , relevant contact can be trace back .. Our identification system be non-contact and not affect by mask , It can accurately identify personally identifiable information and record body temperature . The system will identify all incoming personnel and measure their temperature , and bind temperature data to everyone in real time . Since the virus be a transmissible disease , once a suspected patient be find . It need to find close contact with patient . This will be an effective mean to prevent the spread of the epidemic . And our system can find people who have close contact with suspect patient in a short time . Our system be suitable for all department ."
S-0177,MAD Gaze Smart Glass,MAD Gaze智能眼鏡,MAD Gaze Limited,創龍企業解決方案有限公司,"MAD Gaze , a smart glass brand own by Chuanglong Enterprise Solutions Co. , Ltd. , have the most advanced technology in the industry . It also handle everything from hardware design and production , software solution to platform establishment . Especially in the optical part of the product and the AR algorithm , it perform well and lead the industry . MAD Gaze have the large and most complete AR ecosystem , include APP mall-MAD Store , fully automatic AR APP generation platform-AR Cloud and developer platform-Developer Console . In addition to over a thousand register independent engineer on the platform , The company have register more than 1,000 user . MAD Gaze smart glass have launch several model , include monocular , binocular , one-piece , and split-piece , take into account customer with different need . All-in-one smart glass , battery memory , etc . be instal in the smart glass , operate by the Android system , compatible with most Android apps on the market ; support Wi-Fi and Bluetooth . The integrated smart glass be not subject to any restriction , and do not need to be connect to a computer or mobile phone . It be a completely independent smart wearable product . The built-in optical sensor can also be adjust automatically or manually regardless of the ambient light or darkness . MAD Gaze smart glass can cooperate with a variety of different operate mode , use gesture control and voice recognition to make user truly free their hand , which be different from the experience of use other device . Smart glass be a substitute for mobile phone and tablet . In addition to be light , they be more suitable for busy urbanites and can handle multiple task simultaneously . The late GLOW series be a split smart glass , which be MR mixed reality binocular smart glass for the consumer market launch by MAD Gaze . It change the design style of the first three MAD Gaze model with full sense of science and technology , replace with a design similar to ordinary sunglass , and match the glass with matte black , snow white , violet , lemon yellow , pink , and aqua blue frame for user . To choose , there be two different choice of optical display screen , weigh 75 gram , and foldable . It be the light of all binocular smart glass at present , and it be also a smart MR mixed reality intelligence that combine fashion , lightness , portability , comfort and technology . Wearable device , simply plug and play , connect directly to the mobile phone , and the mobile phone supply power and content .","City Management
Commerce and Industry
Health
Housing
Law and Security
Transport
","Artificial Intelligence (AI)
Augmented Reality
Deep Learning
Internet of Things (IoT)
Mixed Reality
Video Analytics
","MAD Gaze smart glass can help customer solve exist problem or increase their production capacity in all walk of life . The introduction of smart glass have steadily improve their company performance , and can also achieve publicity effect and improve reputation . But many customer do n't understand application development , so you can find our team to develop custom for them . For example , MAD Gaze smart glass can use face recognition technology to identify the appearance of the target for the police/customs , and quickly obtain relevant information , which can effectively combat crime . In medical treatment , the screen during the operation be directly display on the smart glass , eliminate the need for doctor to take care of the operation and view the information in the original operation data display at the same time , save an average of 10 minute for every two hour of operation . , Which greatly reduce the risk and cost of surgery ; It can also replace the laser gun in the logistics industry , use MAD Gaze smart glass to directly confirm the logistics number , scan the QR code and take picture of the shipment in real time to ensure that the good be not damage during transportation . In order to protect the responsibility of both party , simplify the complicated operation process of the logistics industry . In addition to the above example , real-time remote assistance , check database manual , indoor navigation , and AR guideline can also bring reform to traditional industry , complete task more efficiently , and save cost . Following the maturity of AR technology , it can simulate different situation , include medical operation , car repair and other complex technology so that employee can practice repeatedly and increase accuracy . Customers can even use smart glass for inspection service . The management can directly see the inspection status of local supervisor directly in the office or on the mobile phone , reduce time and cost and improve efficiency .",http://www.madgaze.com,"MAD Gaze Smart Glass. MAD Gaze , a smart glass brand own by Chuanglong Enterprise Solutions Co. , Ltd. , have the most advanced technology in the industry . It also handle everything from hardware design and production , software solution to platform establishment . Especially in the optical part of the product and the AR algorithm , it perform well and lead the industry . MAD Gaze have the large and most complete AR ecosystem , include APP mall-MAD Store , fully automatic AR APP generation platform-AR Cloud and developer platform-Developer Console . In addition to over a thousand register independent engineer on the platform , The company have register more than 1,000 user . MAD Gaze smart glass have launch several model , include monocular , binocular , one-piece , and split-piece , take into account customer with different need . All-in-one smart glass , battery memory , etc . be instal in the smart glass , operate by the Android system , compatible with most Android apps on the market ; support Wi-Fi and Bluetooth . The integrated smart glass be not subject to any restriction , and do not need to be connect to a computer or mobile phone . It be a completely independent smart wearable product . The built-in optical sensor can also be adjust automatically or manually regardless of the ambient light or darkness . MAD Gaze smart glass can cooperate with a variety of different operate mode , use gesture control and voice recognition to make user truly free their hand , which be different from the experience of use other device . Smart glass be a substitute for mobile phone and tablet . In addition to be light , they be more suitable for busy urbanites and can handle multiple task simultaneously . The late GLOW series be a split smart glass , which be MR mixed reality binocular smart glass for the consumer market launch by MAD Gaze . It change the design style of the first three MAD Gaze model with full sense of science and technology , replace with a design similar to ordinary sunglass , and match the glass with matte black , snow white , violet , lemon yellow , pink , and aqua blue frame for user . To choose , there be two different choice of optical display screen , weigh 75 gram , and foldable . It be the light of all binocular smart glass at present , and it be also a smart MR mixed reality intelligence that combine fashion , lightness , portability , comfort and technology . Wearable device , simply plug and play , connect directly to the mobile phone , and the mobile phone supply power and content .. MAD Gaze smart glass can help customer solve exist problem or increase their production capacity in all walk of life . The introduction of smart glass have steadily improve their company performance , and can also achieve publicity effect and improve reputation . But many customer do n't understand application development , so you can find our team to develop custom for them . For example , MAD Gaze smart glass can use face recognition technology to identify the appearance of the target for the police/customs , and quickly obtain relevant information , which can effectively combat crime . In medical treatment , the screen during the operation be directly display on the smart glass , eliminate the need for doctor to take care of the operation and view the information in the original operation data display at the same time , save an average of 10 minute for every two hour of operation . , Which greatly reduce the risk and cost of surgery ; It can also replace the laser gun in the logistics industry , use MAD Gaze smart glass to directly confirm the logistics number , scan the QR code and take picture of the shipment in real time to ensure that the good be not damage during transportation . In order to protect the responsibility of both party , simplify the complicated operation process of the logistics industry . In addition to the above example , real-time remote assistance , check database manual , indoor navigation , and AR guideline can also bring reform to traditional industry , complete task more efficiently , and save cost . Following the maturity of AR technology , it can simulate different situation , include medical operation , car repair and other complex technology so that employee can practice repeatedly and increase accuracy . Customers can even use smart glass for inspection service . The management can directly see the inspection status of local supervisor directly in the office or on the mobile phone , reduce time and cost and improve efficiency ."
S-0178,Motor Insurance DLT Authentication System - MIDAS,車保e-Check,CryptoBLK Limited,,"MIDAS be a motor insurance Distributed Ledger Technology ( DLT ) base authentication system which provide motor policy document authenticity check service . It be fully support by the Insurance Authority , and currently use by related department of the Government , insurance company , sub-agents & intermediary and car owner . The system have be implement and employ with fully prove record by multiple department , NGO and private company since early 2018 .","Broadcasting
City Management
Climate and Weather
Commerce and Industry
Development
Education
Employment and Labour
Environment
Finance
Food
Health
Housing
Infrastructure
Law and Security
Population
Recreation and Culture
Social Welfare
Transport
DLT related areas
","Blockchain
",Current pain point in motor insurance industry : - Car owner buy fake motor cover note / policy document which would not have any insurance coverage - No mean for car owner to verify the authenticity of their motor cover note / policy document - Law enforcement body do not have sufficient time / effective mean for facilitate their authenticity check MIDAS motor insurance DLT-based authentication system benefit : - Provides motor cover note / policy document authenticity check service - The DLT system store just-enough data for authenticity check only - No Personal Identifiable Information ( PII ) be store on the DLT system - The DLT system be a consortium platform which disallow any fake cover note / policy be upload to MIDAS - Transparency and immutability ( data can not be alter or delete ) provide an audit trail for all transaction on MIDAS,,"Motor Insurance DLT Authentication System - MIDAS. MIDAS be a motor insurance Distributed Ledger Technology ( DLT ) base authentication system which provide motor policy document authenticity check service . It be fully support by the Insurance Authority , and currently use by related department of the Government , insurance company , sub-agents & intermediary and car owner . The system have be implement and employ with fully prove record by multiple department , NGO and private company since early 2018 .. Current pain point in motor insurance industry : - Car owner buy fake motor cover note / policy document which would not have any insurance coverage - No mean for car owner to verify the authenticity of their motor cover note / policy document - Law enforcement body do not have sufficient time / effective mean for facilitate their authenticity check MIDAS motor insurance DLT-based authentication system benefit : - Provides motor cover note / policy document authenticity check service - The DLT system store just-enough data for authenticity check only - No Personal Identifiable Information ( PII ) be store on the DLT system - The DLT system be a consortium platform which disallow any fake cover note / policy be upload to MIDAS - Transparency and immutability ( data can not be alter or delete ) provide an audit trail for all transaction on MIDAS"
