Reference Code,Solution Name (Eng),Solution Description,Cosine Similarity
S-0166,IXIA BREAKINGPOINT,"All-in-one applications and network security testing platform. Validate the security posture of your networks with real applications and a complete range of threat vectors.

Today’s businesses require an application and security test solution that can verify the stability, accuracy, and quality of networks and network devices.

Enter BreakingPoint®. By simulating real-world legitimate traffic, distributed denial of service (DDoS), exploits, malware, and fuzzing, BreakingPoint validates an organization’s security infrastructure, reduces the risk of network degradation by almost 80%, and increases attack readiness by nearly 70%. And with our new TrafficREWIND solution, you'll get even more realistic and high-fidelity validation by adding production network insight into BreakingPoint test traffic configurations.",0.4876847267150879
S-0134,Smart Building - Energy Management and Optimization Solutions,"Riding on the cutting-edge technology of AI/ML and IoT, Envision Digital has been deployed several successful cases of Smart Building Projects in Singapore, Shanghai and Beijing. 
Our Smart building solution brings values to property developers, FM team and tenants in terms of energy conversation, comfort & safety, efficiency, intelligence and optimizing the workload of FM staff by predictive maintenance method. In which, EnOS AloT platform is playing an important role, this operating system is for enterprises and cities to accelerate digital transformation and ecosystem development. Currently, EnOS is widely adopted by Energy and Smart City Sectors in which it was over 500M devices and managed 100GW assets operated in this platform.

Our Energy Management and Optimization Solution is based on our self-developed EnOS platform, high resolution weather applications as well as actual heat map distributions to optimize the cooling system of the building to make it more energy conservation and efficiency. What’s more, dashboard visibility, energy optimization, weather forecast, space occupancy booking, intelligence reports, predictive maintenance and minimize the workload of FM staff are those functions you would find in our Smart Building Solutions. With our Digital Twin view, Property Developers or Facility Management would have a holistic view to manage & control energy, office space, shopping mall, carpark, equipment, electrical appliances, sensors and all devices within the building. 

Regarding the compatibility with existing systems in the building, EnOS is SaaS based platform which are highly compatible with all kind of systems included BMS and BAS as long as those existing could open API to EnOS to capture the real time data to compute the AI pattern. More data and more training time, AI engine would be more intelligence for adopting the building environment.",0.4840313792228699
S-0008,Shape Security - Shape Enterprise Defense,"Shape Enterprise Defense (SED) protects public facing web and mobile applications from automated attack and abuse, ensuring Hong Kong residents have secure and fair access to online services. Shape enables a frictionless and more accessible experience by replacing legacy approaches such as CAPTCHA. SED is delivered as a managed service to ensure long-term efficacy defending against constantly evolving threats.",0.48362910747528076
S-0135,ISS Analytics Services,"We have an experienced team in data analytics and machine learning and are delighted to provide you with advisory, behavior pattern uncovered, predictive model building and support.",0.48256897926330566
S-0119,Ziizau - Optimization of route design,"Ziizau is a mobile application that optimizes route design, finds the shortest travel route.

The application provides the user an interactive interface for route planning by a detailed map view. Routes are defined by selecting locations on the map, they are called waypoints. The waypoints can be added manually or automatically by importing them from a data file. One of the waypoints is designated as the starting location for the route.

Route optimization is based on finding the shortest path regarding the travel distance that connects all the waypoints. The optimization process is done in seconds or less and it takes into account natural obstacles (for example rivers or islands). The result is drawn on the map by connected waypoints as the shortest route. Besides the optimized route, more information is available like the route length, duration or the actual coordinates of the route waypoints.

Ziizau application can be easily modified to meet the required service needs:
- The input of the route information can be automated. Data can be taken from an already existing database or imported from mobile systems. GPS data can be converted into route waypoints.
- Analytics can be applied on the database in order to label waypoints with meta data that helps the optimization process to make more accurate decisions.
- Waypoints can be defined by manual location selection, address search or lat/lon coordinate input.
- Additional information can be added to each waypoint (for example extra time spent at the location) and it will be taken into account at the optimization process.
- Meta data / labels can be attached to waypoints that will serve as visualization aids, they can be shown on the map view.
- The route optimization process can be adjusted for the shortest travel distance or for the fastest travel time, also the maximum number of optimizable waypoints can be increased.
- Waypoints along with their optimized routes can be stored into the system, organized into different categories. The stored data / results can be quickly loaded by selections from lists.
- Data export can be added for the selected or all the optimized routes and their relevant information.
- Integration with other systems through web service calls and / or moving the system into cloud.",0.4824672341346741
S-0232,"""Smart"" Car Park Management System","STEMHub is a HKSTP Incu-App company, we are professional in AI, Internet of Things, Deep Learning and 5G technologies, applying to Smart city and Smart home devices. Our service heritage combined with our strategic business, innovation consulting, design thinking, and physical-digital capabilities provide social facilitation and real business value to our customers through human-centric innovation. 

Below is our proposed solution for the “Smart” Car Park Management System: 
1) Allow the drivers to make pre-booking through mobile APP/website. A cloud based Car Park Management System to be implemented. It is a web and mobile application to allow drivers to make pre-booking through Mobile App or website. The functions are parking space reservation, payment, car search and other functions, etc. 
2) Check the real-time vacant parking spaces through mobile APP/website. NB- IoT devices will be installed to monitor and detect vehicles occupancy in real time, allowing car park to increase utilization and improve efficiency. Users can query the number of occupied or idled car spaces via the mobile app or website. 
3) Facilitate the public to find parking spaces. Our intelligent parking IoT system can realize data sharing by using network technology, and can provide real-time feedback on the number of cars and parking lot information, and guide the driver to stop and pick up the car. 
4) Navigate the driver to locate his/her own vehicle in the car park. AIoT and OCR technologies would also be used for recognizing vehicles model and their number plates, in order to identify the vehicles and help drivers to find their cars. 
5) Adopt new payment means such as QR code payment, NFC payment, etc. For the traditional parking management method that uses manual cash charges. Our new charging system of the intelligent parking loT is undoubtedly powerful. Intelligent parking IoT generally adopts IC card charging system, such as QR Code payment, NFC Payment, etc. Drivers can make payment via website, Mobile Apps, Exit Gate, Parking Machines, etc. In addition, the network video surveillance system can supervises the toll collectors, which can effectively manage financial security.

Apart from above functions, our solution also provide reports for data analysis, such as: 
• Provide sales report, marketing analysis and billing 
• Provide operators visibility on customer behaviour through big-data analytics, enabling them to develop personalised promotions and propose value-added services to increase revenue and customer satisfaction",0.48229366540908813
S-0231,AI Information push service management system,"STEMHub is a Hong Kong Science Park Incu-App company, we are professional in AI, Internet of Things, Deep Learning and 5G technologies, applying to Smart city and Smart home devices. Our service heritage combined with our strategic business, innovation consulting, design thinking, and physical-digital capabilities provide social facilitation and real business value to our customers through human-centric innovation. 

To deliver appropriate types of information to individuals, below is our proposed solution: 
We can use AI and machine learning to analyze each individual needs on the property information. 

To push the information to individuals, there are few technologies we can choose or combine: 
1) Mobile push - Create delightful mobile experiences with push notifications that drive engagement and conversions. 
2) Web push - Engage off-site users across web and mobile web with actionable web push notifications. 
3) SMS push - Engage users offline with personalized and actionable messages with SMS notification 
4) Email – Engage users with contextual emails at the right moments 
5) In-app messages – Target users with contextual in-app messages 
6) Reports – System will analyze users’ response and provide the reports for analysis.",0.4789855480194092
S-0221,AI and IT enhanced learning platform,"Immersive Education Academy is an education technology company based in Hong Kong. Over the past 8 years we have developed and streamlined a custom built AI and IT enhanced learning management system that is capable of automatically creating personalized content and learning plans for teachers and students. This platform is being used mainly for English learning but it can be used for other subject applications as well. There are three main objectives that we focus on:

- Increased engagement for students
- Personalized learning plans for students
- Reduced workloads for teachers and students

Our company's technology achieves this by collecting large quantities of learning behavior data from students and then identifying key data correlations which are then used to create personalized learning model for students. The recommended plans are provided to the teacher. The expected result is an increase in student learning efficiency and performance outcome. 

This project is in support the government’s Smart City initiative. Specifically, the main policies listed below:

(a) make use of innovation and technology (I&T) to address urban challenges, enhance the effectiveness of city management and improve people’s quality of living as well as Hong Kong’s sustainability, efficiency and safety;
(b) enhance Hong Kong’s attractiveness to global businesses and talents; and
(c) inspire continuous city innovation and sustainable economic development.

Our project has synergy with the above policy directions because our project incorporates the development of AI and IT enhanced technologies that are meant for use in the education sector. The project also aims to use the data that is collected to improve the overall efficiency of education by building individualized learning models which can be used to support teachers and students at different education levels.

Moreover, while current learning subjects using this model are mainly related to English education, the learning platform and model can be expanded adapted to other learning subjects. Within the Smart City initiative, the policies related to Smart People are most relevant as this project can be used to cultivate a learning environment for students that incorporates AI and IT learning tools, and can further support the development of local talent by means of English language learning - further enhancing the cities international reputation and workforce readiness with the multinational companies based in Hong Kong.",0.47813937067985535
S-0091,Next Generation Growable Optical Networks,"By the inspiration of Prof. Charles Kao (Father-of-Fiber Optics), a team of Hong Kong researchers invented Growable Optical Networks in early 2000. Trinity Photonics was established by that team on 2007 with HQ and R&D based in Hong Kong Science Park. 
Trinity provides one stop solutions from Design, Manufacturing, Installation and Management based on the patent for a new generation of Growable Optical Network i.e. bandwidth and network nodes can “grow (be increased)” anytime. Our solution is an unique solution for deploying high speed optical infrastructure for well developed Smart Cities. All new technologies like 5G mobile and Realtime communication can be plugged and played on top of the infrastructure. 
We are thankful for the supports from teachers and students for this Hong Kong Invention. Up to now, we build more than 50 growable optical networks (all with fiber-to-classroom) for schools which serving over 40,000 teachers and students 7x24 concurrently. Each of these schools can enjoy E-learning, WiFi, HD or 4k video broadcast, VR/AR/AI/IoT, STEAM activities, VDI and Moodle for whole school freely. Fulfils the dream of smart city is our goal.",0.47797220945358276
S-0038,Hybrid Reality Platform,"- A collaboration platform for Smart City management: Manage your digital twin and IoT data in 3D
- Construction progress tracking: Monitor location-based 4D BIM (BIM+schedule) and productivity over the project’s timeline
- Future architecture design simulation: Visualise planned engineering works, detect any clashes and revise plans; outdoor view simulation and sunlight analysis for leasing flats
- Real-time facility management: Manage and control IoT data such as air-conditioning, electricity and water consumption
- Predictive building maintenance: Analyse usage patterns, identify potential breakdowns with proactive alerts, and resolve problems before they happen
- CCTV installation planning: Simulate surveillance camera coverage, identify blind spots and determine the optimal number of security cameras required to cover specific area
- Interactive AR/VR experience: Conduct occupational safety training courses; provide 3D e-directory for properties",0.47785067558288574
S-0004,Euclideon Vault - Smart City IOT 3D visualization,"Euclideon Vault is a new suite of software that provides many ground-breaking features for users of Point Cloud datasets, including:
–  Manage, view and manipulate Massive Point Cloud Data
–  Secure, remote streaming of Euclideon Unlimited Detail point cloud models
–  Open access to Unlimited Detail point cloud rendering technology
–  Ability to stream Unlimited Detail models to a variety of mobile devices
–  Built-in conversion of point cloud to Unlimited Detail models
Future features will include:
–  Allow Internet of Things (IOT), GPS and other real-time feeds.
–  Time-Based versions of parts of the model – ie, new scans of parts of the model can be included, and all time/date stamps can be viewed and compared.
–   Collaboration tools with simultaneous, remote access.
–   Built-in conversion of industry standard polygon/mesh models.",0.4770946800708771
S-0020,Machines Predictive Maintenance,"Apply Artificial Intelligence to (i) forecast spare parts demand, (ii) summarize users’ unstructured remarks with NLP (Natural Language Processing) and to (iii) perform predictive maintenance on machines’ maintenance schedule.",0.4761291742324829
S-0137,Splunk,"Splunk (the product) captures, indexes, and correlates real-time data in a searchable repository from which it can generate graphs, reports, alerts, dashboards, and visualizations. Splunk is a horizontal technology used for application management, security and compliance, as well as business and web analytics.",0.4753393530845642
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,"Panga provides a network infrastructure for Smart Cities, collecting all data, from IoT devices, connected buildings and users, and processes them locally (Edge Computing), for a more efficient, secured, scalable resilient access to Smart Data 
Protocol independent, Saving over 50% of energy, Secured the next generation of Operating System dedicated to SmartCity services.",0.473270058631897
S-0034,Cloud Energy Management Platform,"The cloud energy management platform uses the Internet of Things technology to coordinate with different intelligent hardware to monitor the user's power consumption for remote control, and provide users with energy-saving, emission-reduction and consumption-reduction solutions.This platform can be compatible with tens of thousands of smart hardware of different brands. It can monitor different types of electricity consumption such as lights, air conditioners, and sockets in each room, helping users to inform users of abnormal electricity consumption in advance, and protect against them.Loss, generally can save users 30-70% of electricity expenses.",0.47293704748153687
S-0264,Smart Parking with Video Analytics,"With the development and general application of Video Analytics Technology, Smart Parking Solution is not only bounded to License Plate Recognition and Ticketless functions any more. The following systems/features are also designed by our company to cater the growing needs of our clients, deriving from the application of Video Analytics Technology.

1.	Auto-Classification of Vehicle Type for fee-calculation or restriction
Functions: Detect Car type, brand and model for different rate structures. No need to install another ticket unit for lorries. Especially suitable for car parks with loading bays and private car bays.
2.	Dynamic Rate Structure on Bay Location
Functions: Different rates for bays at different locations via video monitoring cameras. Drivers, who are willing to pay more or in a rush, can park at bays with better locations at higher rates. Bays allocation can be more efficiently managed.
3.	Bay-Counting function for Motorcycles
Functions: Motorcyclists can be informed of the floors with the most spaces at entry. Technically, this function was almost unachievable with just sensors for detection in the past.
4.	Outdoor Parking Space Monitoring / Counting
Functions: This function helps to achieve the function of Bay Guidance for outdoor car parks. This solution is much more cost-effective than installing a sensor on every single bay for detection.
5.	Loading Bay Barrier-less Monitoring and Charging Function
Functions: Helps to overcome the general pinpoint of installing a barrier system for a loading bay for rate calculation and payment.
6.	Smart Bay Guidance Signage for EV Cars
Functions: Helps to direct EV Cars to the nearest and available bays with EV chargers. Highly reduce congestion issues at a car park. Enhance user experiences and conveniences.
7.	Mobile Parking Fee Payment via License Plate or Octopus Number
Functions: Reduce the issues of insufficient remaining values for Octopus Cards at the Exit. Highly ease the issue of queues at the exit. Vehicles with no outstanding payment can be allowed to leave by detection of the License Plate.

Our company has engaged and specialized in the field of Car Park Management System for the past two decades and is dedicated to provide top-of-tier technologies and state-of-art products to our clients. Most of our products are proven with track records in the market or standard products from our manufacturers with different types of internationally recognized certificates. Product quality and technical know-hows on our systems are guaranteed with our company.

Our service pledges for this Solution include:
1.	98% or above for License Plate Recognition Accuracy Rate
2.	Provisions of two LPR/Video Cameras per lane at different locations
3.	Expertise on camera location selection
4.	Provision of progressive training on OCR engine and Deep Learning capability
5.	Provision of high-quality preventive maintenance service to the system",0.4723547101020813
S-0005,Smart Lamp Pole and Robotic,"We provide IoT Solution to detect an environment’s conditions such as temperature, water, pressure, motion, gas, and light ect.. together with Robotic Solution as a turnkey.",0.47231513261795044
S-0047,Smart Taxpayer Services with Machine Learning,"In the digital age, traditional ways of providing revenue services are no longer acceptable. Taxpayer now demand services that are personalized, transparent, seamless and timely. Staff are demanding improved processes that will drive great efficiencies. In Parallel, authority still needs to deliver on the revenue commitments that are required by the government and the community. SAP Customer Retention solution powered by Leonardo Machine Learning and HANA Prediction Analytics provides the deep insights into taxpayer's journey of becoming debtors. The solution is able to identify the high-risk events or influences that lead to payment default. And the solution is able to distinguish between taxpayers who has the capacity to pay but chose not to and those who are in genuine financial hardship and require additional support. Both types of taxpayers require different approaches and responses and being able to know when to apply one response over the other is critical to a client centric approach.",0.47227776050567627
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation","Perform machine learning and intelligent analysis on the stock holding data of the brokerage firm, calculate the information entropy of the shareholding portfolio and its changes, locate and find out the suspicious brokerage seat purchases that have changed before the special company event, by checking the brokerage seat in the specified time windowEstimate the profit and loss and rate of return on a certain stock to find out abnormal transactions; evaluate the changes in the degree of chip concentration of the designated stock by changing the distribution of the designated stocks in different brokerage seats, and monitor abnormal short-selling transactions through pattern recognition of individual stocks, Automatically detect specific public opinions (short selling reports, manipulation accusations, etc..), high-risk public events and explosive news are automatically located to the list of related listed companies.",0.47189486026763916
S-0139,imVision,"imVision is a market leader in API security solutions, its API Anomaly Management Platform (AAMP) is commercially deployed worldwide, including Fortune Global 500 customers, analyzing APIs for over end users.

The inherent lack of API security and their proprietary nature makes them a prime target for the next big wave of cyber-attacks. The Open Web Application Security Project (OWASP) defines a dedicated Top 10 for API Security threats, where the majority of API threats are caused by logical failures at the application layer imVision enables service providers to protect their operations against API-driven attack such as data breaches, account takeover, fraud and application level denial of service.",0.4718591272830963
S-0003,GeoSpatial Cloud,"Esri China (HK) is specialized in providing Geographic Information Systems (GIS) solutions based on Esri’s ArcGIS technology which enables integration with different smart city components like transport, security, urban planning, healthcare, asset management, disaster and common operational picture for emergency response. Esri China (HK) is honored to be awarded the SOA-QPS by the Office of the Government Chief Information Officer (OGCIO) since 2005. 

Cloud platforms and geographic information systems (GIS) software together give businesses the ability to analyze massive amounts of information. ArcGIS Online, ArcGIS Pro, Operations Dashboard for ArcGIS, Collector for ArcGIS, Survey 123 are all part of the Esri Geospatial Cloud. The resultant location intelligence often reveals deeper insights and innovative ways to increase efficiency. With a geospatial cloud, one can create maps that represent thousands of relationships between hundreds of layers of data on demographics, sales, population growth, likely customers, competitors, supply chains, delivery routes, and countless other variables. The Esri Geospatial Cloud enables national, state, and local governments to map critical issues, from health to crime to utility lines. It supports the work of nongovernmental organizations involved in environmental issues, addressing social justice concerns and crisis response for natural disasters. A geospatial cloud also allows location intelligence data to be easily combined with artificial intelligence and predictive analytics to map out ways to drive productivity or adjust strategies before bigger problems develop.

Our Professional Service Team had worked with over 30 HKSAR Government departments for over 20 years and had developed a thorough understanding of the departments’ requirement and procedures. In fact, developed as a common data environment for collecting, managing, analyzing and sharing of geospatial information, the ArcGIS platform has been widely adopted as the standard GIS software in many governmental departments such as Lands Department, Planning Department, Housing Department, Hong Kong Police Force, Fire Services Department, Water Supplies Department, Highways Department, and Transport Department.",0.47179114818573
S-0022,A smart lamp pole system with AI-enabled security system,"This is a road lamp system that has a number of components on it: weather station, WIFI / 5G station, public announcement system, digital signage, EV are charging station, radar speed (for vehicle speed checking), a call point, and CCTV. Some of the components are self explanatory. It enhances public security by 24/7 monitoring the surroundings events, people behavior.",0.4711036682128906
S-0114,Worker Insights,"Worker Insights is a multi-tenant, containerized analytics SaaS solution that embeds the Internet of Things (IoT) platform and leverages the edge. Maximo Worker Insights provides proactive and just-in-time analytics to help employers make decisions that improve workplace safety conditions and decrease disruption to the workplace.",0.47061407566070557
S-0035,Document Delivery By Unmanned Vehicle,"Use unmanned vehicles to distribute documents, packages and other items.The advantages of this program: 1. Increase the rate of personnel dispatch and save manpower; 2. Convenient management and reduce messy dispatch personnel; 3. Passwords must be verified when picking up items to improve the confidentiality of documents.",0.4705713391304016
S-0102,Miovision's Portable Solution for Traffic Data Collection,"Miovision works with public agencies, engineering firms and data collectors across the world.  In North America, 70% of transportation departments are using Miovision because of safety, accuracy (95% or better accurate data), and efficiency.   Miovision's unique solution helps agencies optimize and scale out their data collection operations.  Our video based data collection unit, called Scout, is a best in class field device for data collectors.  The Scout VCU bundle comes with everything needed to get started including LTE based Wi-FI probe for Travel Time data collection as well as remote monitoring and scheduling capabilities.

All new customers benefit from our rich resource of training videos and product information for a smooth on-boarding.  To ensure your team is comfortable with the equipment and online tools, Miovision offers free customer support and deployment recommendations which is available for the life of the product.",0.4704776406288147
S-0108,SparkXIO Smart Car Park Management System,"1. SparkX Stud, a new generation IoT sensor from PRODIGY detect ""Vehicle Occupancy"" in car parks. The floor mounted sensor, senses the change in geo-magnetic field around it to detect the presence of a vehicle in a car park bay. The sensor communicates the occupancy data, via long range wireless networks standards LoRa and NBiOT. 

2. SparXIO system - the cloud based smart parking solution from PRODIGY hosted on AWS, provides building owners a complete management device managements.

3. SparkXIO Mobile App provides users real time access to the car park status with geo-location both outdoor and indoor car park bays.",0.4692942202091217
S-0163,Ai-Knowie,"Ai-Knowie is the intelligent enterprise knowledge-based engine that compresses your time to access insights – it ingests a high volume of your documents & data in various formats via Optical Character Recognition (OCR), automates repetitive business processes with Robotic Process Automation (RPA) and provide you with valuable insights.",0.469105988740921
S-0016,Cyclops -- Smart City & unmanned store solution,"Cyclops can directly process camera footages (CCTV etc) to perform people count, human tracking, emotion recognition, demographics recognition and many more. The solution can be utilized in Smart City application and Unmanned store solution.",0.46749773621559143
S-0251,Self Service Bike Rental Solution,The automatic bicycle rental system is used by citizens for leisure and entertainment.The system does not require a large number of manual operations to allow citizens to easily rent or return bicycles in different places in the district to visit the scenic spots and open spaces in the district.,0.4673847556114197
S-0070,Well井 Smart Water Station,"The mission of Urban Spring is to reduce the consumption of single-use plastic, bottles by offering well-designed and well-maintained water refill stations in different locations and occasions, whether permanent or mobile. Our range of products has various level of smart features to capture data for monitoring usage and operating conditions to ensure property filtered drinking water are served for catering high people-traffic locations.
Compared with conventional water fountains, our aesthetic design, enhanced features and service level safeguard the hygiene of water refill stations. These enable the public to develop high trust level and the usage of water refill stations in the public areas, as well as enable operators to manage these water stations more effectively.",0.46640509366989136
S-0067,AR Smart Glass Assisted for equipment training and O&M,"Increase in productivity, versatility and value of the labour force.  Hence it would soothe the difficulty to hire skillful technician or labour from the tense skillful labour market in the industry sector.  Moreover, personnel safety would be improved due to less mal-operation of equipment.",0.46514612436294556
S-0010,Precise Facility Crowd Analysis,"Through wireless transceivers receiving Wi-Fi signals from smartphones (no apps or connection is needed), and processing the data on Clouds, we provide a detailed analysis on the utilization of the facility, like crowd count and dwell time, crowd flow, and returning-visitor statistics. Facility operator and management can use the result for crowd management, manpower and resources allocation, predictive maintenance, and new facility design.",0.46265432238578796
S-0011,Precise Outdoor Crowd Analysis,"Through wireless transceivers receiving Wi-Fi signals from smartphones (no apps or connection is needed), and processing the data on Clouds, we provide a detailed crowd analysis, like time series of crowd count and dwell time, and crowd flow statistics. Citizens and tourists can be clustered by their location-based behaviors. The analysis result can be used in crowd monitoring and future urban planning.",0.46235305070877075
S-0082,A.I. Contact Center and User Engagement Solution,"The solution aims to solve the pain point of departments running a contact center. Our solution provides a 24x7 A.I. virtual assistant to handle inquiries in Chinese, Cantonese and English. The assistant can also be trained to follow up with the users. Departments can integrate the virtual assistant on multiple platforms such as WhatsApp, WeChat, Messenger, Websites and Mobile Apps as an effective engagement tool with the users. When the assistant does not know the answer, it can redirect to a human. Both voice and text are supported.",0.4609978497028351
S-0092,Enable the wireless connectivity for IoT devices,"Synap Technologies offers a tailor-made communication protocol and network equipment for the Low-Power Wide-Area Network (LPWAN) IoT networks operating on the license-free sub-GHz narrowband spectrum.

A great IoT solution is hassle-free. Our wireless communication solution enables any sensor device be connected to our network. This helps the IoT community to concentrate on delivering value from their Smart City applications.  

Therefore all Synap equipment is configuration free, no specialist training is needed. We bridge the networking knowledge gap by employing the SynapMesh protocol together with the intelligence in our centralised cloud platform. The network forms automatically, requiring no staging or configuration on site.",0.4603889584541321
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,"National ID card or Travel Document is an essential proof of one’s identity. How to verify and retrieve the information of the document in an automatic way are a challenge in many organizations including hotels, travel agencies, banking and finances, insurance companies, Consulate generals, immigration department, custom and exercise department, police force, airport authorities. By adapting this technology, organizations can prevent human mistake during the data manipulation and speed up the application processing time.

Aisino offers a comprehensive identity recognition solution which helps organizations to retrieve custom required information from the identity document in a blink. In addition, Aisino can capture the identify document as a proof to comply with local security regulation need in one go. Besides, we also offer mobile OCR solution on mobile phone which offers organization a mobility solution.",0.45895811915397644
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,"Our Solution is an exciting mobile technology for enterprise and field mobility offering the following: 
•	Electronic proof of presence - Simple check-in and check-out for fast and easy time and attendance. Confirm locations in areas that are remote or without connectivity to allow an accurate monitoring of remote work carried out.
•	Streamlined workflow - Direct employees to perform tasks once they have tapped on their staff card, even opening your Operation app with pre-populated field or asset information.
•	Improved data accuracy - Automatic identification of assets, equipment, or locations. Data are real-time uploaded onto server, therefore to allow management to have an overview of the most update understanding of the work completed.",0.4587085545063019
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,"This program provides two technical services for the current epidemic prevention and control, such as tracking the people who have been in close contact with the confirmed patient, and the independent intellectual property identity authentication technology that can solve the hidden dangers caused by the current lack of identity authentication; ifThe above-mentioned technologies can be effectively applied and will be able to effectively prevent and control the spread of the epidemic without loopholes, and provide assistance for the implementation of resumption of work and production.",0.45856255292892456
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,"Enlighted solution captures power, light, motion, temperature and BLE data by one single 5 in 1 micro sensors.  It delivered the benefit of energy efficiency, space utilization as well as the asset tracking and location services to users.",0.4583706259727478
S-0156,Neo,"Avidbots designs and manufactures autonomous connected robots to expand
human potential. Its ground-breaking product is Neo, a commercial floor-scrubbing
robot widely deployed by the world’s leading facilities. They include international
airports, major transit hubs, warehouses, industrial manufacturing sites, retail malls,
healthcare facilities, universities, technology parks and other commercial properties
worldwide. Neo has redundant safety features and on-line cleaning report to measure the KPI metrics for operation continuous improvement.
The company is backed by leading global venture capital firms including True
Ventures, Next47, GGV Capital and Golden Ventures. Avidbots has its
headquarters in Kitchener, Ontario, Canada, with offices in Silicon Valley, USA,
Hong Kong and Colombia, South America.",0.458256334066391
S-0196,Personnel and Asset positioning management system,"Real-time monitoring of employees:
Query and monitoring of employees' real-time location, return visits to historical trajectories, group location query, and record whether they are on duty and working time are helpful to optimize their work processes and improve work management efficiency.
Visitor management:
Visitors do not need to be accompanied by personnel, and they can navigate to their destinations on their mobile phones. At the same time, the security guards can monitor the real-time location of visitors and return visits from historical trajectories to improve safety management efficiency.
Asset monitoring:
The real-time positioning and monitoring of warehouse goods and important assets, the total number of goods, the remaining quantity, and the specific corresponding location can be seen at a glance in the background.
electric fence:
For special industries and special plants, strengthen safety and production.Through the setting of the electronic fence, once it is out of the set range, an alarm will be issued immediately to ensure safety and eliminate hidden dangers.",0.4579774737358093
S-0142,NetMotion Mobility,"NetMotion Mobility is an intelligent solution that not only secures connections and data, but enhances and optimizes network connectivity to ensure business-critical applications are always accessible. It is the component of NetMotion’s Mobile Performance Management solution that accelerates, optimizes and secures all mobile device traffic supporting any network, application or operating system.

NetMotion Mobility transforms mobile access for both mobile users and the IT support team entrusted to manage and support them. Mobility insulates applications from the instabilities in networks enabling them to roam seamlessly between Wi-Fi and mobile operator network without user intervention delivering a resilient, “always-on” connectivity experience. NetMotion software also adds a layer of intelligence that is situationally-aware of the connections, devices and applications that a worker is using at any moment. It adjusts for the ever-changing network conditions to ensure mobile workers always get the best use experience from their mobile devices and applications.",0.45529478788375854
S-0205,Centrak Quarantine Management Solution,"The recent spread of COVID-19 has highlighted the need for effective quarantine measures facilitated by the use of technology. 

CenTrak offers a practical and affordable solution to isolate and contain infectious diseases through the use of active-RFID technologies. The solution includes a simple-to-install home network access point, small comfortable quarantine wrist strap tags worn by individuals in isolation and cloud-based software to easily configure settings such as isolation time and alerts, allowing for remote monitoring of thousands of locations.

The use of this system includes effective monitoring of high-risk individuals and infectious disease management. Secondary benefits of the system include reducing the infection rate of a given population which has a positive effect on the society and the economy at large.",0.45503872632980347
S-0013,Public Event Tracking and Early Warning Analysis System,"Multilingual public opinion collection and analysis of public data such as local and overseas websites, social media, etc., sentiment analysis/trend analysis/geographic visualization analysis/relational analysis, etc. for the events/individuals/entities queried by users, providing a solution for decision makersExtremely simplified, low-cost, interactive analysis support, in a few minutes, the massive information is transformed into a key knowledge graph that is immediately available to support decision-making.",0.45477306842803955
S-0062,Parkingbnb,"1. Parkingbnb helps drivers to find the most convenient, closest and cheapest place to park using all opportunities of the existing city infrastructure, including municipal parking, commercial and private idle slots.

2. Parkingbnb's software and equipment solutions for parking complexes are able to control parking occupancy and most rationally distribute cars among the parking spaces. This together with online payment tools enables to improve and ease the administration of parking complexes and cut maintenance costs.

Parkingbnb's solutions intend to reduce traffic congestion and illegal parking, decrease air pollution and improve the life comfort of Hong Kong citizens.",0.4545367956161499
S-0001,PixelEye Object Detection,"PIXEL EYE, adopted TensorFlow and Keras technology, plus high-end GPU computing, which achieved real-time object detection, tracking and object category recognition. This technology can also be applied to crowd flow monitoring with providing different information about the flow of people: such as number of people, average dwell time, distribution of detected objects at each location, and predicted movement paths and traffic data.
It can achieve good accuracy even the scene is very crowded and also handle overlapping of people properly. Our tracking system can provide various information about the customers such as the number of people, their average staying time, the distribution at each location and predict the moving path and traffic data. Such information can be available in real time, and we provide customizable backend for managers to view and analyze such information at their convenience with processing high performance GPU.",0.454428493976593
